"corpus","preloaded/brexit_dedup"
"subcorpus","-"
Keyword,Gramrel,Collocate,Freq,Score
danger,"modifiers of X",,64,23.440
,,"mortal",3,10.410
,,"present",3,9.010
,,"pose",1,8.980
,,"present",1,8.910
,,"myriad",1,8.730
,,"inherent",1,8.710
,,"immense",1,8.440
,,"imminent",1,8.400
,,"real",11,8.110
,,"ttip",1,8.020
,,"legitimate",1,7.760
,,"hate",1,7.640
,,"considerable",1,7.500
,,"potential",3,6.980
,,"serious",2,6.890
,,"immediate",1,6.560
,,"various",1,6.290
,,"such",2,5.990
,,"economic",6,5.870
,,"current",2,5.850
,,"massive",1,5.830
,,"clear",1,5.770
,,"great",4,5.720
,,"significant",1,5.450
,,"much",1,5.310
,,"future",1,5.270
,,"small",1,4.930
,,"major",1,4.660
,,"big",2,4.270
,,"same",1,4.060
,,"global",1,3.890
,,"many",1,3.260
,,"brexit",3,3.150
,,"eu",1,1.040
danger,"nouns and verbs modified by X",,8,2.930
,,"crossing",2,11.470
,,"pose",1,9.610
,,"instability",1,8.400
,,"zone",2,7.780
,,"sign",1,7.440
,,"man",1,5.130
danger,"verbs with X as object",,83,30.400
,,"misunderstand",2,9.440
,,"highlight",5,9.230
,,"pose",3,8.720
,,"understate",1,8.430
,,"suppose",2,8.300
,,"underline",1,8.240
,,"exaggerate",1,8.230
,,"illustrate",1,7.910
,,"outweigh",1,7.860
,,"loom",1,7.780
,,"place",2,7.540
,,"risk",1,7.220
,,"tackle",1,7.040
,,"associate",1,7.020
,,"represent",2,7.010
,,"show",5,6.490
,,"reflect",1,6.460
,,"present",1,6.390
,,"ignore",1,6.120
,,"involve",1,6.060
,,"believe",2,6.040
,,"consider",1,5.620
,,"stop",1,5.510
,,"raise",1,5.440
,,"reduce",1,5.290
,,"mean",1,4.850
,,"be",37,4.740
,,"become",1,4.600
,,"see",1,3.160
,,"say",1,2.500
,,"leave",1,1.700
,,"have",1,1.250
danger,"verbs with X as subject",,20,7.330
,,"lurk",1,9.870
,,"result",1,8.520
,,"fly",1,8.250
,,"accord",1,7.670
