"﻿""corpus""",preloaded/brexit_dedup
,tragic,44,11.910
,cox,116,12.850
,untimely,9,10.210
,premature,8,9.990
,jocoxmp,7,9.730
,capita,6,10.870
,jo,7,10.060
,sudden,4,8.780
,napalm,3,8.660
,jocox,3,8.570
,strange,3,8.300
,sad,3,8.270
,more,8,6.140
,social,3,6.110
,penalty,17,11.470
,toll,9,10.950
,knell,6,10.580
,star,8,9.340
,ahead,3,8.900
,threat,6,8.390
,crash,3,7.970
,week,6,6.290
,exploit,19,10.770
,politicise,4,9.300
,mourn,3,12.330
,cause,17,9.070
,use,38,8.830
,die,3,8.400
,follow,16,8.270
,announce,4,7.890
,begin,9,8.930
,bring,3,7.590
,take,4,6.120
,come,3,5.310
,go,3,5.130
,injury,6,10.790
,life,5,9.340
,war,6,9.150
,brexit,3,9.340
,tragedy,4,12.470
,mp,23,11.560
,diana,5,9.730
,wife,4,9.390
,woman,4,8.940
,politician,3,8.920
,capitalism,8,10.100
,isla,3,8.920
,friend,3,8.680
,speech,3,8.620
,europe,3,6.340
,people,3,5.760
,eu,3,5.600
,stab,17,12.430
,sick,11,11.730
,scare,4,10.570
,beat,3,10.170
,freeze,3,10.170
,shoot,3,10.090
,fight,3,10.090
,contribute,4,8.740
,lead,10,8.600
,traitor,65,13.860
,kiss,5,11.730
,news,6,11.140
,flag,3,10.750
,thousand,3,8.030
,constituency,10,11.670
,accident,3,11.030
,advantage,5,12.410
,gain,3,10.140
,responsible,4,9.730
,hour,3,10.650
,name,10,12.460
,part,8,9.960
,low,3,12.770
,year,5,11.830
,anyone,6,12.540
,shock,3,13.410
