"﻿""corpus""",preloaded/brexit_dedup
,traitor,58,12.110
,citizen,10,9.480
,democracy,42,10.740
,religious,9,9.370
,individual,13,9.310
,sovereignty,50,11.610
,biafra,3,8.050
,constitutional,4,8.030
,prosperity,13,9.560
,fundamental,4,7.830
,peace,8,8.760
,complete,3,7.340
,less,4,7.230
,country,3,7.040
,more,13,6.790
,great,9,6.720
,personal,3,6.650
,britain,63,11.160
,democratic,3,6.570
,uk,16,6.440
,immigration,4,7.070
,vote,6,8.020
,economic,6,5.750
,eu,5,7.500
,independence,9,9.810
,flotilla,4,9.480
,security,5,7.610
,party,16,7.530
,defend,11,9.460
,choose,10,8.970
,enjoy,9,8.800
,accept,10,8.720
,restrict,5,8.600
,favour,5,8.570
,preserve,4,8.410
,regain,5,8.190
,allow,10,10.050
,secure,4,7.960
,value,3,7.940
,cite,3,7.590
,forget,3,7.560
,limit,3,7.480
,maintain,3,7.240
,seek,3,7.220
,mean,6,7.170
,protect,4,7.170
,love,3,7.050
,bring,4,6.970
,need,6,6.900
,want,8,6.880
,call,5,6.820
,include,7,6.740
,give,9,6.510
,lose,5,6.470
,have,37,6.440
,increase,3,6.440
,take,10,5.810
,liberty,9,9.320
,right,6,10.350
,serfdom,5,8.660
,union,10,8.300
,market,11,8.180
,control,4,7.720
,safety,3,7.660
,justice,3,7.560
,opportunity,3,7.480
,government,4,6.940
,trade,3,6.630
,brexit,3,8.830
,movement,221,13.310
,speech,27,11.100
,rule,8,11.420
,press,12,9.970
,expression,8,9.500
,pricing,6,9.080
,choice,6,8.900
,request,3,8.070
,travel,3,7.970
,people,3,5.640
,principle,5,9.930
,sake,3,9.310
,degree,3,9.040
,loss,3,8.040
,fight,13,10.720
,die,3,9.830
,voteremain,3,9.690
,chance,3,9.530
,voteleave,3,9.150
,wait,3,8.160
,unite,49,13.430
,believe,4,8.390
,reduce,3,10.600
,quit,7,12.130
,europe,4,6.400
,benefit,12,10.510
,such,3,6.630
