"corpus","preloaded/brexit_dedup"
"subcorpus","-"
Keyword,Gramrel,Collocate,Freq,Score
power,"modifiers of X",,937,43.180
,,"more",115,9.730
,,"military",24,9.310
,,"soft",19,9.200
,,"bargaining",13,8.760
,,"voting",15,8.490
,,"paddy",10,8.420
,,"nuclear",10,8.210
,,"much",15,8.180
,,"spending",9,8.130
,,"corporate",9,7.920
,,"31-year-old",7,7.920
,,"political",30,7.890
,,"sweeping",7,7.880
,,"dominant",7,7.840
,,"sovereign",8,7.830
,,"great",23,7.810
,,"world",17,7.810
,,"axis",6,7.690
,,"purchasing",6,7.690
,,"veto",6,7.670
,,"imperial",6,7.640
,,"real",13,7.610
,,"ultimate",6,7.560
,,"legislative",6,7.550
,,"less",8,7.500
,,"people",7,7.420
,,"colonial",5,7.400
,,"democratic",8,7.340
,,"land",6,7.310
,,"absolute",5,7.230
,,"coal-fired",4,7.110
,,"enough",5,7.070
,,"wind",4,7.070
,,"combined",4,7.030
,,"statistical",4,7.010
,,"executive",4,6.970
,,"european",22,6.900
,,"regulatory",4,6.900
,,"emergency",4,6.900
,,"global",11,6.870
,,"western",4,6.760
,,"major",7,6.730
,,"such",6,6.690
,,"significant",5,6.660
,,"great",5,6.630
,,"state",4,6.550
,,"economic",12,6.540
,,"new",13,6.490
,,"former",6,6.460
,,"little",5,6.440
,,"foreign",5,6.350
,,"full",4,6.310
,,"strong",5,6.220
,,"other",9,5.710
,,"trade",5,5.700
,,"eu",16,4.970
,,"british",5,4.630
power,"nouns and verbs modified by X",,278,12.810
,,"plant",24,10.680
,,"grab",11,10.240
,,"struggle",10,9.810
,,"grid",7,9.530
,,"pose",6,9.300
,,"station",14,9.220
,,"base",7,8.780
,,"structure",6,8.590
,,"broker",4,8.350
,,"couple",4,8.290
,,"politics",8,7.930
,,"bloc",4,7.510
,,"company",5,6.340
,,"system",5,6.250
power,"verbs with X as object",,779,35.900
,,"hand",19,9.420
,,"return",14,8.980
,,"gain",19,8.930
,,"transfer",11,8.740
,,"give",47,8.700
,,"have",154,8.440
,,"undermine",10,8.410
,,"exercise",9,8.400
,,"cede",7,8.130
,,"hold",15,8.000
,,"centralize",6,7.960
,,"leverage",6,7.940
,,"lose",16,7.830
,,"like",8,7.780
,,"grow",8,7.670
,,"devolve",5,7.650
,,"want",16,7.610
,,"limit",6,7.600
,,"reduce",9,7.590
,,"seize",5,7.580
,,"lack",5,7.530
,,"prove",5,7.460
,,"take",33,7.420
,,"wield",4,7.360
,,"accumulate",4,7.350
,,"amplify",4,7.350
,,"remove",5,7.330
,,"centralise",4,7.320
,,"bring",7,7.250
,,"emerge",4,7.130
,,"retain",4,7.110
,,"mean",7,6.970
,,"increase",6,6.940
,,"deliver",4,6.830
,,"keep",7,6.820
,,"become",7,6.810
,,"use",10,6.630
,,"negotiate",4,6.610
,,"share",4,6.590
