"corpus","preloaded/brexit_dedup"
"subcorpus","-"
Keyword,Gramrel,Collocate,Freq,Score
safety,"modifiers of X",,64,17.680
,,"flight",3,10.100
,,"food",8,9.520
,,"spectator",2,9.390
,,"product",3,9.250
,,"relative",2,8.630
,,"fire",2,8.400
,,"road",2,8.390
,,"personal",3,7.180
,,"less",2,6.850
,,"own",6,6.220
,,"public",3,5.860
,,"good",2,3.940
safety,"nouns and verbs modified by X",,138,38.120
,,"net",8,10.490
,,"board",10,9.960
,,"play",7,9.460
,,"standard",12,9.340
,,"laboratory",3,9.340
,,"reg",3,9.150
,,"harness",2,8.860
,,"health",4,8.790
,,"flow",3,8.240
,,"check",4,8.130
,,"legislation",4,8.000
,,"image",2,7.810
,,"requirement",2,7.530
,,"protection",2,7.150
,,"message",2,7.070
,,"trade",5,7.040
,,"fear",5,6.990
,,"authority",2,6.880
,,"regulation",3,6.790
,,"rule",2,5.810
,,"issue",2,5.270
,,"law",2,5.120
,,"system",2,5.020
,,"campaign",3,4.770
safety,"verbs with X as object",,50,13.810
,,"compromise",2,9.770
,,"ensure",9,9.570
,,"endanger",2,9.570
,,"improve",5,8.660
,,"guarantee",2,7.810
,,"seek",2,7.380
,,"find",4,6.770
,,"help",2,6.200
,,"be",4,1.540
safety,"verbs with X as subject",,17,4.700
,,"measure",2,10.600
,,"say",2,2.800
,,"have",3,1.980
,,"be",7,1.760
safety,"X and/or ...",,89,24.590
,,"health",17,11.030
,,"security",16,9.960
,,"flight",3,9.690
,,"prosperity",6,9.580
,,"tranquility",2,9.460
,,"standard",4,9.140
,,"measure",2,8.760
,,"team",2,8.310
,,"protection",2,8.130
,,"life",2,8.050
,,"freedom",3,7.660
,,"right",2,6.560
,,"job",2,6.410
safety,"prepositional phrases",,161,0.000
,,"... to ""%w""",35,9.670
,,"""%w"" of ...",30,8.290
,,"... for ""%w""",26,7.180
,,"""%w"" in ...",17,4.700
,,"... of ""%w""",11,3.040
,,"... on ""%w""",8,2.210
,,"... with ""%w""",5,1.380
,,"""%w"" at ...",5,1.380
,,"... about ""%w""",5,1.380
,,"... in ""%w""",2,0.550
,,"""%w"" to ...",2,0.550
,,"""%w"" from ...",2,0.550
,,"... from ""%w""",2,0.550
,,"... over ""%w""",2,0.550
safety,"X is a ...",,4,1.100
,,"issue",2,9.320
safety,"possessors of X",,3,0.830
,,"kpc",2,13.670
safety,"... to X",,35,9.670
,,"flight",13,12.490
,,"rush",4,11.470
,,"winch",2,10.790
,,"attitude",3,10.430
,,"flee",2,10.410
,,"threat",2,8.300
safety,"X of ...",,30,8.290
,,"employee",4,11.190
,,"jarvis",2,11.000
,,"food",3,10.240
,,"bond",2,9.950
,,"job",2,8.400
,,"uk",2,6.670
safety,"... for X",,26,7.180
,,"stand",2,10.710
,,"concern",3,10.160
,,"look",3,8.490
,,"vote",2,6.540
safety,"X in ...",,17,4.700
,,"block",3,11.500
,,"place",2,7.010
,,"europe",2,5.400
safety,"... of X",,11,3.040
,,"assurance",2,11.830
,,"issue",2,8.230
safety,"... with X",,5,1.380
,,"charge",4,10.980
safety,"X from ...",,2,0.550
,,"home",2,10.790
