"corpus","preloaded/ententen21_tt31"
"subcorpus","-"
Keyword,Gramrel,Collocate,Freq,Score
comfort,"modifiers of X",,536055,26.820
,,"creature",15325,9.580
,,"ride",7742,8.220
,,"maximum",15927,7.590
,,"thermal",8016,7.560
,,"all-day",2930,7.340
,,"occupant",2574,7.220
,,"utmost",3045,7.010
,,"added",8171,6.930
,,"passenger",4938,6.900
,,"operator",2776,6.810
,,"luxurious",2780,6.750
,,"ultimate",5695,6.630
,,"optimum",2448,6.610
,,"superior",3954,6.570
,,"patient",4951,6.520
,,"air-conditioned",1567,6.410
,,"relative",4155,6.330
,,"optimal",2942,6.290
,,"supreme",1726,6.080
,,"enhanced",2663,6.050
,,"warmth",1157,6.050
,,"extra",8693,5.940
,,"exceptional",2709,5.930
,,"rider",1197,5.900
,,"offer",2237,5.890
,,"modern",10600,5.840
,,"cold",4634,5.780
,,"unparalleled",1133,5.750
,,"material",3947,5.690
,,"cozy",1136,5.680
,,"unmatched",889,5.560
,,"increase",1635,5.550
,,"ergonomic",893,5.530
,,"convenience",1017,5.500
,,"luxury",1923,5.440
,,"seat",1459,5.430
,,"driver",1610,5.340
,,"plush",760,5.300
,,"style",2151,5.260
,,"durability",655,5.210
,,"indoor",1463,5.210
,,"safety",3834,5.200
,,"long-lasting",738,5.200
,,"seating",828,5.160
,,"year-round",712,5.150
,,"lasting",1137,5.120
,,"homely",577,5.070
,,"offering",867,5.030
comfort,"nouns modified by X",,396744,19.850
,,"zone",119709,10.370
,,"food",50899,8.250
,,"convenience",2989,7.380
,,"blanket",1605,6.230
,,"level",38885,6.220
,,"durability",1126,6.150
,,"luxury",1063,5.940
,,"safety",3370,5.820
,,"eating",929,5.700
,,"grip",1324,5.660
,,"fit",1998,5.510
,,"warmth",706,5.450
,,"woman",8042,5.100
comfort,"verbs with X as object",,488478,24.440
,,"sacrifice",4551,7.420
,,"ensure",12827,6.320
,,"maximize",2805,6.280
,,"seek",9329,6.040
,,"offer",29956,5.910
,,"enjoy",12486,5.880
,,"enhance",5633,5.880
,,"compromise",1640,5.830
,,"provide",53798,5.750
,,"improve",14497,5.660
,,"combine",4157,5.490
,,"find",37395,5.450
,,"bring",15161,5.390
,,"maximise",895,5.370
,,"guarantee",1953,5.210
,,"prefer",1660,5.120
,,"ride",1644,5.090
,,"condition",685,5.080
comfort,"verbs with X as subject",,74551,3.730
,,"zone",263,6.460
comfort,"X and/or ...",,648160,32.430
,,"convenience",24953,9.850
,,"luxury",14878,9.260
,,"safety",36417,8.920
,,"warmth",11840,8.800
,,"style",22061,8.380
,,"ease",6753,8.160
,,"durability",7333,8.130
,,"fit",5711,7.810
,,"aid",7018,7.780
,,"peace",11098,7.740
,,"privacy",6418,7.590
,,"relaxation",4462,7.510
,,"joy",6446,7.440
,,"pleasure",4907,7.410
,,"support",18269,7.360
,,"elegance",3546,7.230
,,"security",11456,7.200
,,"stability",5488,7.200
,,"protection",6928,7.040
,,"familiarity",2664,6.960
,,"efficiency",5953,6.960
,,"performance",10980,6.940
,,"amenity",3273,6.930
,,"solace",2482,6.930
,,"hope",4527,6.850
,,"happiness",3509,6.820
,,"reassurance",2205,6.740
,,"quality",10148,6.730
,,"enjoyment",2486,6.720
,,"confidence",3738,6.710
,,"relief",2796,6.660
,,"practicality",2106,6.630
,,"handling",2764,6.620
,,"functionality",2669,6.540
,,"flexibility",3126,6.530
,,"encouragement",2363,6.520
,,"breathability",1852,6.520
,,"strength",5132,6.380
,,"satisfaction",2395,6.370
,,"grip",1805,6.270
,,"consolation",1544,6.250
,,"well-being",2270,6.240
,,"versatility",1576,6.140
,,"refinement",1525,6.100
,,"cleanliness",1475,6.090
,,"space",5804,6.080
,,"healing",1895,6.060
,,"reliability",2267,6.050
,,"beauty",2692,6.000
,,"hospitality",1654,5.970
,,"care",5109,5.960
,,"companionship",1227,5.870
,,"productivity",1869,5.840
,,"control",4977,5.760
,,"mobility",1521,5.750
,,"health",6683,5.740
,,"dignity",1534,5.730
,,"love",3976,5.680
,,"cushioning",1029,5.670
,,"wealth",1704,5.660
,,"ergonomics",1036,5.640
,,"help",1756,5.640
,,"softness",1026,5.630
,,"charm",1280,5.610
,,"speed",2686,5.590
,,"inspiration",1418,5.590
,,"feature",3179,5.590
,,"assurance",1096,5.550
,,"feel",1010,5.400
,,"freedom",1895,5.340
,,"tranquility",850,5.320
,,"availability",1334,5.270
,,"simplicity",975,5.270
,,"traction",811,5.260
,,"saving",1149,5.260
,,"look",1542,5.250
,,"aesthetics",869,5.190
,,"guidance",1429,5.180
,,"sophistication",789,5.180
,,"styling",793,5.170
,,"calm",762,5.130
,,"welfare",947,5.080
,,"comfort",1334,5.070
comfort,"prepositional phrases",,846996,0.000
,,"""%w"" of ...",200535,10.030
,,"... of ""%w""",143119,7.160
,,"... for ""%w""",120190,6.010
,,"... in ""%w""",75854,3.790
,,"""%w"" in ...",61124,3.060
,,"... from ""%w""",42641,2.130
,,"""%w"" to ...",33344,1.670
,,"... with ""%w""",32455,1.620
,,"... to ""%w""",24904,1.250
,,"""%w"" for ...",23727,1.190
,,"""%w"" with ...",17687,0.880
,,"... on ""%w""",9552,0.480
,,"""%w"" from ...",9045,0.450
,,"""%w"" on ...",6451,0.320
,,"""%w"" at ...",6291,0.310
,,"""%w"" during ...",6137,0.310
,,"... about ""%w""",4303,0.220
,,"... between ""%w""",3023,0.150
,,"... at ""%w""",2602,0.130
,,"... as ""%w""",2467,0.120
,,"... into ""%w""",1913,0.100
,,"... by ""%w""",1696,0.080
,,"""%w"" over ...",1571,0.080
,,"... than ""%w""",1415,0.070
,,"""%w"" as ...",1360,0.070
,,"""%w"" throughout ...",970,0.050
,,"""%w"" through ...",936,0.050
,,"... like ""%w""",914,0.050
,,"... without ""%w""",841,0.040
,,"""%w"" like ...",698,0.030
,,"""%w"" than ...",689,0.030
,,"""%w"" while ...",618,0.030
,,"""%w"" within ...",569,0.030
,,"... within ""%w""",533,0.030
,,"""%w"" after ...",489,0.020
,,"... over ""%w""",448,0.020
,,"""%w"" into ...",433,0.020
,,"... beyond ""%w""",423,0.020
,,"... after ""%w""",393,0.020
,,"""%w"" without ...",373,0.020
,,"... towards ""%w""",333,0.020
,,"""%w"" under ...",324,0.020
,,"""%w"" by ...",315,0.020
,,"... behind ""%w""",311,0.020
,,"""%w"" around ...",249,0.010
,,"""%w"" inside ...",226,0.010
,,"... around ""%w""",211,0.010
,,"""%w"" against ...",204,0.010
,,"... toward ""%w""",195,0.010
,,"""%w"" above ...",143,0.010
,,"""%w"" among ...",141,0.010
,,"... outside ""%w""",122,0.010
,,"... upon ""%w""",103,0.010
,,"""%w"" beyond ...",87,0.000
,,"""%w"" along ...",82,0.000
,,"... inside ""%w""",77,0.000
,,"... before ""%w""",71,0.000
,,"""%w"" across ...",67,0.000
,,"""%w"" if ...",65,0.000
,,"""%w"" until ...",62,0.000
,,"""%w"" behind ...",60,0.000
,,"""%w"" before ...",59,0.000
,,"... if ""%w""",53,0.000
,,"... out ""%w""",49,0.000
,,"... through ""%w""",47,0.000
,,"""%w"" about ...",42,0.000
,,"""%w"" up ...",37,0.000
,,"""%w"" aboard ...",37,0.000
,,"... among ""%w""",35,0.000
,,"""%w"" because ...",35,0.000
,,"... along ""%w""",32,0.000
,,"... because ""%w""",32,0.000
,,"""%w"" between ...",31,0.000
,,"... against ""%w""",28,0.000
,,"""%w"" upon ...",26,0.000
,,"""%w"" amid ...",20,0.000
,,"""%w"" below ...",20,0.000
,,"... onto ""%w""",19,0.000
,,"""%w"" amidst ...",18,0.000
,,"... though ""%w""",17,0.000
,,"... so ""%w""",16,0.000
,,"""%w"" so ...",14,0.000
,,"""%w"" off ...",14,0.000
,,"... except ""%w""",14,0.000
,,"""%w"" despite ...",13,0.000
,,"... past ""%w""",13,0.000
,,"... up ""%w""",12,0.000
comfort,"adjective predicates of X",,15096,0.760
,,"paramount",324,6.880
,,"key",839,6.140
,,"subjective",105,5.970
,,"sucking",27,5.580
,,"unmatched",54,5.490
,,"onboard",104,5.320
,,"year-round",74,5.300
,,"unparalleled",34,5.030
,,"prioritized",23,5.010
comfort,"X is a ...",,7474,0.370
,,"priority",1057,7.530
,,"comfort",66,7.280
,,"consideration",185,6.610
,,"king",167,6.150
,,"hallmark",60,6.040
,,"keyword",22,6.000
,,"concern",308,5.810
,,"criterion",40,5.680
,,"luxury",40,5.640
,,"aim",28,5.530
,,"everything",183,5.500
,,"goal",164,5.420
,,"thought",28,5.120
,,"assurance",11,5.120
,,"thanks",56,5.080
comfort,"X''s ...",,223,0.010
,,"sake",201,5.100
comfort,"possessors of X",,13713,0.690
,,"guest",1264,9.530
,,"occupant",220,8.590
,,"passenger",265,7.630
,,"pet",300,7.200
,,"wearer",116,6.940
,,"home",288,6.710
,,"rider",110,6.520
,,"horse",185,5.850
,,"shoe",29,5.800
,,"patient",902,5.720
,,"dog",262,5.610
,,"baby",302,5.480
,,"bed",21,5.370
,,"operator",86,5.360
,,"chair",33,5.230
,,"traveler",51,5.170
,,"Lover",25,5.060
,,"seat",17,5.040
,,"resident",111,5.030
comfort,"X of ...",,200535,10.030
,,"home",81065,11.150
,,"couch",2760,8.650
,,"bed",2804,7.720
,,"room",6480,7.700
,,"sofa",1341,7.640
,,"chair",1832,7.400
,,"armchair",1036,7.370
,,"hotel",2233,7.290
,,"guest",1665,7.250
,,"passenger",1113,6.730
,,"kitchen",859,6.710
,,"bedroom",740,6.530
,,"seat",1280,6.520
,,"occupant",609,6.460
,,"office",1947,6.440
,,"Home",636,6.410
,,"desk",626,6.330
,,"cabin",580,6.230
,,"lounge",489,6.210
,,"suite",543,6.090
,,"apartment",617,5.970
,,"villa",372,5.710
,,"computer",855,5.700
,,"stranger",424,5.680
,,"car",1832,5.650
,,"mattress",340,5.610
,,"accommodation",466,5.550
,,"house",1923,5.530
,,"living",801,5.530
,,"lodge",315,5.420
,,"scripture",390,5.380
,,"surroundings",312,5.300
,,"backyard",239,5.230
,,"studio",352,5.180
,,"resort",320,5.170
,,"residence",394,5.070
,,"balcony",218,5.070
,,"tent",256,5.070
,,"familiarity",233,5.050
,,"conditioning",224,5.020
comfort,"... of X",,143119,7.160
,,"word",7319,7.750
,,"crumb",739,7.340
,,"level",23995,7.120
,,"feeling",3445,7.010
,,"God",1360,6.810
,,"degree",3891,6.570
,,"blend",1280,6.550
,,"tidings",414,6.490
,,"standard",2246,6.410
,,"source",6933,6.380
,,"sense",7476,6.320
,,"measure",1809,6.270
,,"haven",350,6.160
,,"cocoon",318,6.140
,,"oasis",327,6.030
,,"zone",486,5.870
,,"modicum",283,5.750
,,"balance",912,5.730
,,"message",681,5.710
,,"gesture",318,5.710
