"﻿""corpus""",preloaded/ententen21_tt31
,creature,15325,9.580
,ride,7742,8.220
,maximum,15927,7.590
,thermal,8016,7.560
,occupant,491,8.790
,utmost,404,7.370
,added,8171,6.930
,passenger,833,7.960
,operator,2776,6.810
,luxurious,2780,6.750
,ultimate,2170,9.310
,optimum,2448,6.610
,superior,3954,6.570
,patient,4951,6.520
,relative,4155,6.330
,optimal,2942,6.290
,supreme,1726,6.080
,enhanced,2663,6.050
,warmth,11840,8.800
,extra,8693,5.940
,exceptional,2709,5.930
,rider,281,6.820
,offer,15,6.050
,modern,10600,5.840
,cold,4634,5.780
,unparalleled,1133,5.750
,material,3947,5.690
,cozy,1136,5.680
,unmatched,889,5.560
,increase,1635,5.550
,ergonomic,893,5.530
,convenience,24953,9.850
,luxury,14878,9.260
,seat,25,7.620
,driver,11,7.320
,plush,760,5.300
,style,11,10.440
,durability,7333,8.130
,indoor,1463,5.210
,safety,36417,8.920
,seating,828,5.160
,lasting,1137,5.120
,homely,577,5.070
,offering,867,5.030
,zone,119709,10.370
,food,50899,8.250
,blanket,21,6.870
,level,23995,7.120
,eating,929,5.700
,grip,790,7.650
,fit,5711,7.810
,woman,8042,5.100
,sacrifice,98,7.630
,ensure,12827,6.320
,maximize,2805,6.280
,seek,9329,6.040
,enjoy,818,9.020
,enhance,5633,5.880
,compromise,1131,9.380
,provide,19,6.800
,improve,14497,5.660
,combine,4157,5.490
,find,37395,5.450
,bring,10,7.550
,maximise,895,5.370
,guarantee,1953,5.210
,prefer,1660,5.120
,condition,685,5.080
,ease,6753,8.160
,aid,7018,7.780
,peace,11098,7.740
,privacy,6418,7.590
,relaxation,4462,7.510
,joy,6446,7.440
,pleasure,4907,7.410
,support,18269,7.360
,elegance,3546,7.230
,security,11456,7.200
,stability,5488,7.200
,protection,6928,7.040
,familiarity,257,7.070
,efficiency,5953,6.960
,performance,50,7.570
,amenity,3273,6.930
,solace,2482,6.930
,hope,4527,6.850
,happiness,3509,6.820
,reassurance,2205,6.740
,quality,10148,6.730
,enjoyment,2486,6.720
,confidence,3738,6.710
,relief,2796,6.660
,practicality,2106,6.630
,handling,14,8.730
,functionality,2669,6.540
,flexibility,3126,6.530
,encouragement,2363,6.520
,breathability,1852,6.520
,strength,5132,6.380
,satisfaction,2395,6.370
,consolation,1544,6.250
,versatility,1576,6.140
,refinement,1525,6.100
,cleanliness,1475,6.090
,space,5804,6.080
,healing,1895,6.060
,reliability,2267,6.050
,beauty,2692,6.000
,hospitality,1654,5.970
,care,144,6.090
,companionship,1227,5.870
,productivity,1869,5.840
,control,19,5.850
,mobility,1521,5.750
,health,6683,5.740
,dignity,1534,5.730
,love,74,6.090
,cushioning,263,6.150
,wealth,1704,5.660
,ergonomics,1036,5.640
,help,1756,5.640
,softness,1026,5.630
,charm,200,7.430
,speed,45,8.160
,inspiration,1418,5.590
,feature,3179,5.590
,assurance,28,6.580
,feel,1010,5.400
,freedom,1895,5.340
,tranquility,850,5.320
,availability,1334,5.270
,simplicity,975,5.270
,traction,811,5.260
,saving,1149,5.260
,look,21,7.340
,aesthetics,869,5.190
,guidance,1429,5.180
,sophistication,789,5.180
,styling,38,5.590
,calm,762,5.130
,welfare,947,5.080
,comfort,66,7.280
,paramount,324,6.880
,key,839,6.140
,subjective,105,5.970
,sucking,27,5.580
,onboard,104,5.320
,prioritized,23,5.010
,priority,1057,7.530
,consideration,185,6.610
,king,167,6.150
,hallmark,60,6.040
,keyword,22,6.000
,concern,15,7.160
,criterion,40,5.680
,aim,28,5.530
,everything,19,6.830
,goal,164,5.420
,thought,157,7.300
,thanks,56,5.080
,sake,201,5.100
,guest,1264,9.530
,pet,300,7.200
,wearer,284,8.370
,home,81065,11.150
,horse,185,5.850
,shoe,50,6.000
,dog,262,5.610
,baby,204,6.030
,bed,2804,7.720
,chair,1832,7.400
,traveler,132,6.190
,Lover,25,5.060
,resident,111,5.030
,couch,2760,8.650
,room,6480,7.700
