"corpus","preloaded/ententen21_tt31"
"subcorpus","-"
Keyword,Gramrel,Collocate,Freq,Score
danger,"modifiers of X",,547205,25.980
,,"imminent",22275,9.940
,,"grave",19064,9.520
,,"mortal",8031,8.350
,,"inherent",8535,8.240
,,"immediate",16947,7.810
,,"impending",4923,7.720
,,"potential",30399,7.590
,,"present",14262,7.020
,,"stranger",2285,6.970
,,"avalanche",2067,6.800
,,"serious",14535,6.790
,,"hidden",4913,6.790
,,"real",42102,6.780
,,"fire",7901,6.660
,,"ever-present",1709,6.580
,,"extreme",6415,6.540
,,"constant",5770,6.490
,,"terrible",2975,6.060
,,"obvious",3732,6.050
,,"possible",8941,5.950
,,"life-threatening",1027,5.660
,,"great",45094,5.640
,,"deadly",1771,5.580
,,"danger",847,5.430
,,"existential",888,5.370
,,"physical",6369,5.160
,,"unseen",717,5.120
,,"unknown",1494,5.020
,,"wildfire",617,5.010
,,"unnecessary",1028,5.010
danger,"nouns modified by X",,93299,4.430
,,"zone",16008,7.620
,,"toil",246,6.160
,,"sign",5154,5.920
,,"intrigue",291,5.870
,,"loom",241,5.720
,,"signal",3313,5.560
,,"danger",847,5.430
danger,"verbs with X as object",,618945,29.390
,,"pose",44928,9.830
,,"sense",5553,7.380
,,"face",18451,6.760
,,"avert",2475,6.760
,,"realize",4965,6.510
,,"perceive",4064,6.470
,,"highlight",6987,6.430
,,"avoid",11741,6.420
,,"brave",1659,6.280
,,"escape",3305,6.230
,,"lurk",1350,6.100
,,"associate",8765,6.000
,,"recognize",6402,5.960
,,"minimize",2808,5.940
,,"loom",1349,5.920
,,"present",11606,5.810
,,"constitute",2771,5.750
,,"realise",1515,5.730
,,"illustrate",2621,5.600
,,"exaggerate",1048,5.590
,,"underestimate",1135,5.570
,,"apprehend",994,5.570
,,"lessen",1180,5.550
,,"foresee",1050,5.550
,,"downplay",985,5.530
,,"encounter",2091,5.480
,,"mitigate",1421,5.450
,,"lie",1534,5.370
,,"understand",7317,5.270
,,"recognise",1660,5.270
,,"underscore",920,5.240
,,"eliminate",2809,5.230
,,"confront",1338,5.210
,,"risk",1087,5.150
,,"fear",1154,5.140
,,"ignore",2364,5.090
,,"clear",1813,5.060
danger,"verbs with X as subject",,168038,7.980
,,"lurk",6878,9.720
,,"threaten",3769,7.110
,,"loom",988,6.670
,,"outweigh",723,6.370
,,"await",1197,6.200
,,"lie",4500,6.150
,,"confront",663,5.790
,,"pose",1231,5.720
,,"arise",2360,5.700
,,"face",4070,5.390
,,"beset",246,5.370
,,"exist",2824,5.220
,,"stalk",246,5.220
,,"menace",186,5.110
,,"emanate",266,5.030
danger,"X and/or ...",,242282,11.500
,,"difficulty",4911,8.050
,,"hardship",2679,7.930
,,"threat",4838,7.640
,,"risk",8662,7.620
,,"harm",1889,7.350
,,"danger",2372,7.320
,,"intrigue",1515,7.240
,,"excitement",2077,7.050
,,"hazard",1615,7.030
,,"peril",1078,7.000
,,"mystery",1624,6.730
,,"adventure",2069,6.680
,,"trouble",1292,6.610
,,"pitfall",824,6.570
,,"toil",752,6.530
,,"evil",952,6.420
,,"temptation",761,6.390
,,"suspense",769,6.360
,,"fear",2732,6.250
,,"inconvenience",648,6.230
,,"obstacle",859,6.210
,,"distress",810,6.160
,,"uncertainty",1215,6.140
,,"romance",864,6.000
,,"consequence",1163,5.940
,,"privation",458,5.890
,,"discomfort",654,5.880
,,"thrill",474,5.730
,,"possibility",885,5.680
,,"darkness",619,5.570
,,"menace",373,5.550
,,"nuisance",368,5.530
,,"tension",716,5.440
,,"enemy",722,5.410
,,"suffering",705,5.370
,,"wonder",515,5.340
,,"warning",584,5.280
,,"chaos",521,5.280
,,"death",2504,5.260
,,"challenge",1695,5.250
,,"traps",377,5.240
,,"persecution",404,5.230
,,"opportunity",2214,5.200
,,"urgency",339,5.190
,,"disaster",583,5.180
,,"annoyance",292,5.150
,,"violence",1474,5.090
,,"adversity",277,5.070
,,"damage",1119,5.010
,,"horror",438,5.010
danger,"prepositional phrases",,1221575,0.000
,,"... in ""%w""",316627,15.030
,,"""%w"" of ...",301177,14.300
,,"... of ""%w""",188973,8.970
,,"""%w"" to ...",107277,5.090
,,"... about ""%w""",54665,2.600
,,"... to ""%w""",45164,2.140
,,"""%w"" in ...",31395,1.490
,,"... with ""%w""",24552,1.170
,,"... from ""%w""",23762,1.130
,,"""%w"" from ...",18290,0.870
,,"... on ""%w""",16744,0.790
,,"""%w"" for ...",16648,0.790
,,"... for ""%w""",9277,0.440
,,"... against ""%w""",8806,0.420
,,"... into ""%w""",7826,0.370
,,"""%w"" on ...",5932,0.280
,,"""%w"" at ...",4978,0.240
,,"... without ""%w""",4820,0.230
,,"... as ""%w""",4801,0.230
,,"... by ""%w""",4042,0.190
,,"... at ""%w""",3544,0.170
,,"""%w"" with ...",2988,0.140
,,"""%w"" as ...",2138,0.100
,,"... than ""%w""",962,0.050
,,"... over ""%w""",895,0.040
,,"... after ""%w""",892,0.040
,,"""%w"" during ...",890,0.040
,,"""%w"" by ...",869,0.040
,,"... through ""%w""",852,0.040
,,"""%w"" than ...",805,0.040
,,"""%w"" if ...",740,0.040
,,"... out ""%w""",684,0.030
,,"""%w"" around ...",545,0.030
,,"... until ""%w""",539,0.030
,,"""%w"" along ...",515,0.020
,,"... under ""%w""",502,0.020
,,"... like ""%w""",497,0.020
,,"... toward ""%w""",455,0.020
,,"... towards ""%w""",435,0.020
,,"... between ""%w""",431,0.020
,,"... despite ""%w""",342,0.020
,,"... if ""%w""",338,0.020
,,"... upon ""%w""",287,0.010
,,"""%w"" like ...",258,0.010
,,"""%w"" within ...",255,0.010
,,"""%w"" into ...",253,0.010
,,"""%w"" because ...",240,0.010
,,"""%w"" without ...",231,0.010
,,"""%w"" after ...",207,0.010
,,"... beyond ""%w""",184,0.010
,,"... around ""%w""",181,0.010
,,"""%w"" under ...",180,0.010
,,"... whether ""%w""",150,0.010
,,"""%w"" through ...",139,0.010
,,"... among ""%w""",118,0.010
,,"... before ""%w""",116,0.010
,,"""%w"" over ...",111,0.010
,,"""%w"" throughout ...",102,0.000
,,"""%w"" before ...",101,0.000
,,"""%w"" across ...",98,0.000
,,"... because ""%w""",93,0.000
,,"... en ""%w""",88,0.000
,,"... across ""%w""",84,0.000
,,"""%w"" behind ...",74,0.000
,,"... up ""%w""",67,0.000
,,"... behind ""%w""",66,0.000
,,"""%w"" until ...",62,0.000
,,"""%w"" upon ...",62,0.000
,,"""%w"" against ...",60,0.000
,,"... past ""%w""",60,0.000
