"﻿""corpus""",preloaded/ententen21_tt31
,imminent,22275,9.940
,grave,19064,9.520
,mortal,8031,8.350
,inherent,5254,9.720
,immediate,16947,7.810
,impending,4923,7.720
,potential,30399,7.590
,present,14262,7.020
,stranger,2285,6.970
,avalanche,2067,6.800
,serious,14535,6.790
,hidden,4913,6.790
,real,1924,7.300
,fire,528,7.540
,extreme,6415,6.540
,constant,5770,6.490
,terrible,2975,6.060
,obvious,3732,6.050
,possible,8941,5.950
,great,45094,5.640
,deadly,1771,5.580
,danger,13,10.250
,existential,888,5.370
,physical,6369,5.160
,unseen,717,5.120
,unknown,1494,5.020
,wildfire,47,5.900
,unnecessary,1028,5.010
,zone,16008,7.620
,toil,752,6.530
,sign,3263,6.170
,intrigue,1515,7.240
,loom,35,7.150
,signal,357,8.550
,pose,44928,9.830
,sense,14,10.140
,face,10,8.360
,avert,2475,6.760
,realize,4965,6.510
,perceive,4064,6.470
,highlight,6987,6.430
,avoid,11741,6.420
,brave,1659,6.280
,escape,14,12.280
,lurk,6878,9.720
,associate,8765,6.000
,recognize,6402,5.960
,minimize,2808,5.940
,constitute,2771,5.750
,realise,1515,5.730
,illustrate,2621,5.600
,exaggerate,1048,5.590
,underestimate,1135,5.570
,apprehend,994,5.570
,lessen,1180,5.550
,foresee,1050,5.550
,downplay,985,5.530
,encounter,2091,5.480
,mitigate,29,5.910
,lie,4500,6.150
,understand,7317,5.270
,recognise,1660,5.270
,underscore,920,5.240
,eliminate,2809,5.230
,confront,381,6.480
,risk,8662,7.620
,fear,27,6.590
,ignore,2364,5.090
,clear,661,6.110
,threaten,3769,7.110
,outweigh,569,9.890
,await,1197,6.200
,arise,2360,5.700
,beset,222,7.780
,exist,2824,5.220
,stalk,246,5.220
,menace,59,8.300
,emanate,266,5.030
,difficulty,4911,8.050
,hardship,2679,7.930
,threat,4838,7.640
,harm,1889,7.350
,excitement,2077,7.050
,hazard,1615,7.030
,peril,1078,7.000
,mystery,1624,6.730
,adventure,17,6.760
,trouble,1292,6.610
,pitfall,824,6.570
,evil,952,6.420
,temptation,25,6.680
,suspense,769,6.360
,inconvenience,13,8.460
,obstacle,859,6.210
,distress,810,6.160
,uncertainty,1215,6.140
,romance,864,6.000
,consequence,1163,5.940
,privation,458,5.890
,discomfort,654,5.880
,thrill,474,5.730
,possibility,885,5.680
,darkness,619,5.570
,nuisance,52,9.830
,tension,716,5.440
,enemy,305,7.530
,suffering,705,5.370
,wonder,515,5.340
,warning,2779,9.890
,chaos,521,5.280
,death,4644,6.520
,challenge,1695,5.250
,traps,377,5.240
,persecution,404,5.230
,opportunity,12,6.600
,urgency,339,5.190
,disaster,583,5.180
,annoyance,21,8.710
,violence,1215,5.120
,adversity,277,5.070
,damage,26,5.670
,horror,438,5.010
,past,1032,7.090
,implicit,210,6.930
,near,585,6.760
,greatest,123,6.510
,acute,173,6.380
,attendant,72,6.110
,untold,74,6.080
,incidental,88,5.970
,imaginary,66,5.860
,afoot,59,5.500
,apparent,274,5.490
,palpable,80,5.380
,minimal,167,5.370
,considerable,56,5.100
,nigh,40,5.100
,latent,36,5.070
,complacency,31,7.290
,corner,10,7.410
,panic,18,6.350
,deflation,16,6.330
,tendency,33,6.200
,inflation,21,6.170
,collapse,3131,8.020
,aphrodisiac,11,5.640
,apathy,10,5.620
,proliferation,11,5.590
,exposure,1803,6.670
,Iran,135,6.680
,radiation,16,7.580
,terrorism,15,7.700
,explosion,1017,6.420
,ignorance,12,5.210
,Islam,100,5.850
,hour,48,5.150
,tobacco,36,8.550
,smoking,2920,8.060
,ephedra,18,7.920
,chemical,31,7.880
,marijuana,41,7.840
,drug,144,7.470
,Vioxx,13,7.430
,fracking,14,7.400
,fluoride,13,7.180
,mercury,11,7.100
,lead,18,6.740
,warming,77,6.710
,Democracy,12,6.660
,alcohol,12,6.440
,virus,35,5.930
,wave,10,5.920
,job,14,5.380
,vaccine,926,5.660
,product,15,6.440
,be,245645,8.030
,life,9875,7.560
,seem,1214,6.760
,feel,1340,6.490
,put,3910,6.260
,child,1021,8.490
,other,325,7.070
,family,39,6.710
,look,944,5.560
,place,11,8.050
,health,6849,8.650
,extinction,5149,8.850
,frost,2592,8.050
,driving,1421,7.030
,war,5261,6.570
,attack,2958,6.540
,prejudice,1002,6.530
,injury,1945,6.460
,collision,958,6.440
,abuse,2086,6.430
,asbestos,830,6.380
,drinking,812,6.260
,poisoning,791,6.210
,contamination,876,6.190
,pollution,999,6.190
,invasion,886,6.160
,addiction,793,6.060
,smoke,48,6.160
,flooding,76,6.410
,closing,629,5.990
,infection,1478,5.980
,sinking,584,5.940
,destruction,923,5.740
,misuse,519,5.730
,use,2441,6.640
,starvation,527,5.700
,relegation,480,5.680
,fascism,521,5.640
,pesticide,542,5.540
,Internet,864,5.530
,situation,765,5.990
,loss,1069,5.460
,accident,740,5.420
,sea,24,6.980
,extremism,25,5.460
,conflict,1011,5.370
,weapon,133,7.010
,concussion,396,5.350
,failure,839,5.270
,escalation,369,5.260
,vaping,346,5.210
,communism,11,5.640
,trafficking,413,5.150
,flood,69,6.230
,change,109,5.250
,default,391,5.130
,disease,1490,5.070
,travel,16,5.310
,judgment,537,5.030
,warn,1717,10.620
,aware,16453,8.470
,unaware,2751,8.020
,awareness,1655,8.410
,reminder,1519,7.230
,apprehension,733,6.850
,public,1525,8.890
,conscious,631,6.220
,hint,210,6.350
,disregard,260,6.840
,know,1403,5.940
,spite,1138,5.910
,heedless,336,5.830
,ignorant,436,5.810
,moment,1590,5.790
,mindful,421,5.700
,inform,344,6.330
,perception,964,5.630
,wary,391,5.620
,element,2238,5.580
,beware,357,5.550
,midst,771,5.460
,full,3089,5.400
,extent,771,5.340
,source,3407,5.320
,approach,18,6.830
,cognizant,246,5.260
,time,129,5.660
,aura,248,5.140
,feeling,981,5.120
,imminence,204,5.120
,unconscious,198,5.070
,speak,797,5.800
,remind,312,5.040
,tell,185,5.420
,air,315,5.030
,society,4522,8.650
,democracy,1343,7.920
,security,2075,7.880
,safety,2013,7.810
,peace,1103,7.500
,liberty,719,7.450
,human,1443,7.440
,self,980,7.280
,pedestrian,527,7.140
,humanity,604,6.850
,community,369,7.180
,navigation,345,6.510
,freedom,675,6.500
,stability,388,6.400
,worker,704,6.270
,pet,316,6.260
,wildlife,304,6.250
,cyclist,263,6.220
,existence,382,6.140
,civilian,266,6.130
,republic,245,6.130
,civilization,287,6.120
,nation,608,6.110
,motorist,248,6.110
,environment,925,6.060
,survival,335,6.020
,anyone,1357,6.000
,shipping,205,5.830
,citizen,198,6.960
,planet,315,5.780
,driver,153,6.460
,ship,29,5.860
,animal,154,5.940
,Israel,484,5.740
,mankind,237,5.710
,person,313,6.020
,aircraft,229,5.700
,Republic,239,5.680
,crew,20,6.080
,soul,285,5.670
,resident,141,6.190
,troop,228,5.670
,occupant,179,5.640
,integrity,202,5.640
,baby,263,5.610
,bird,245,5.610
,population,431,5.590
,officer,364,5.590
,personnel,223,5.560
,interest,476,5.550
,user,144,6.160
,passenger,221,5.530
,country,35,6.120
,Americans,128,6.190
,economy,448,5.400
,victim,321,5.380
,America,567,5.370
,woman,133,6.060
,people,1681,8.630
,States,655,5.280
,patient,130,5.920
,kid,376,7.420
,welfare,162,5.220
,world,206,6.670
,vessel,12,5.210
,faith,222,5.160
,future,327,5.120
,everyone,94,5.690
,unity,134,5.100
,order,338,5.010
,parent,394,7.520
,tale,461,7.510
,student,533,7.310
,educate,219,7.780
,consumer,291,7.190
,message,445,7.090
,alarm,34,8.000
,youth,129,7.150
,campaign,203,6.830
,teen,193,6.790
,lesson,268,6.780
,education,234,6.660
,year,209,6.490
,caution,154,8.220
,concern,31,6.760
,employee,134,6.100
,reader,135,6.090
,teach,193,6.070
,evidence,138,5.840
,claim,203,5.830
,word,229,5.740
,point,57,8.320
,lecture,97,5.680
,speech,107,5.650
,member,109,5.620
,argument,153,5.600
,truth,315,5.570
,teenager,80,5.560
,worry,17,6.430
,preach,20,5.620
,audience,81,5.390
,right,103,5.370
,parable,73,5.360
,customer,82,5.300
,government,74,5.290
,adult,67,5.260
,write,786,5.220
,owner,66,5.210
,anxiety,18,6.250
,medium,75,5.180
,school,67,5.170
,statement,184,5.140
,film,159,5.120
,report,135,5.100
,article,367,5.100
,player,59,5.070
,scream,60,5.060
,learn,1265,5.010
,talk,44,6.720
,alert,1200,9.270
,oblivious,1265,8.720
,expose,4344,7.760
,alive,32,7.780
,blind,461,7.580
,awaken,275,7.040
,indifference,142,6.050
,eye,397,6.030
,react,678,5.860
,immune,156,6.480
,indifferent,128,5.750
,awake,76,5.710
,vulnerable,505,5.700
,inure,69,5.440
,proportion,157,5.420
,vigilant,29,6.360
,susceptible,292,5.330
,attention,1666,5.280
,attune,89,5.230
,prey,93,5.160
,wise,53,5.100
,insensible,49,5.090
,sensitive,295,5.030
,delay,76,5.520
,Manger,36,5.200
,fraught,6905,11.470
,attend,495,8.480
,flirt,556,7.940
,rife,276,7.140
,wrought,105,6.920
,brush,202,6.900
,unattended,23,7.340
,frought,35,5.530
,dice,35,5.510
,commensurate,82,5.410
,pregnant,103,5.390
,flirtation,37,5.370
,surround,57,5.340
,riddle,96,5.320
,contend,94,5.310
,fill,1620,5.120
,lace,72,5.120
,safe,1482,8.680
,flee,625,7.720
,deliverance,211,7.530
,secure,132,7.180
,shrink,163,7.160
,free,1573,7.070
,save,346,7.050
,deliver,216,6.980
,rescue,250,6.960
,protect,880,6.770
,preserve,97,6.740
,protection,619,6.690
,refuge,111,6.520
,shield,95,6.240
,guard,815,9.040
,property,28,6.230
,run,277,9.420
,shelter,10,8.660
,shy,118,5.820
,wearer,41,5.710
,son,61,5.640
,retreat,74,5.600
,keep,15,6.350
,hide,21,8.090
,one,75,5.460
,daughter,49,5.400
,haven,32,5.310
,relieve,39,5.190
,preservation,27,5.180
,stay,16,9.640
,earth,50,5.090
,Indians,197,7.870
,terrorist,116,7.180
,predator,13,7.590
,robber,69,6.890
,traffic,108,6.630
,killer,64,6.620
,submarine,54,6.270
,lightning,48,6.270
,mob,54,6.260
,bandit,45,6.240
,foe,51,6.210
,force,158,6.080
,beast,48,6.080
,Gentile,39,6.050
,storm,97,6.040
,extremist,36,5.810
,bomb,43,5.810
,wolf,11,5.780
,thief,36,5.740
,gang,41,5.730
,snake,34,5.710
,earthquake,49,5.660
,criminal,37,5.630
,raid,37,5.570
,native,34,5.570
,asteroid,32,5.570
,poacher,29,5.570
,fallout,32,5.560
,pirate,33,5.510
,bear,31,5.500
,missile,30,5.500
,tsunami,28,5.460
,mine,89,5.450
,Taliban,29,5.450
,dog,108,5.480
,bullet,30,5.360
,erosion,33,5.350
,quarter,95,5.340
,gas,48,5.390
,creature,35,5.310
,strike,33,5.310
,Right,26,5.310
