"corpus","preloaded/ententen21_tt31"
"subcorpus","-"
Keyword,Gramrel,Collocate,Freq,Score
death,"modifiers of X",,2090780,17.960
,,"sudden",72128,9.670
,,"untimely",42172,9.310
,,"premature",38253,9.080
,,"tragic",35295,8.850
,,"cell",69984,8.740
,,"accidental",22504,8.310
,,"overdose",19970,8.250
,,"civilian",19427,7.860
,,"violent",21586,7.810
,,"wrongful",14379,7.730
,,"maternal",13732,7.530
,,"cancer",20871,7.500
,,"birth",17475,7.500
,,"programmed",10338,7.300
,,"mysterious",13108,7.290
,,"painful",11979,7.280
,,"preventable",10012,7.250
,,"infant",10817,7.200
,,"slow",16167,7.180
,,"unexpected",12595,7.180
,,"cardiac",10885,7.150
,,"COVID-19",16649,7.090
,,"excess",9941,6.900
,,"impending",7980,6.820
,,"horrible",8903,6.810
,,"imminent",7843,6.810
,,"instant",8172,6.520
,,"suspicious",6459,6.520
,,"life",16124,6.460
,,"related",12453,6.460
,,"brain",8529,6.330
,,"eventual",5919,6.330
,,"neonatal",5424,6.330
,,"certain",22856,6.280
,,"near",8380,6.220
,,"coronavirus",6137,6.210
,,"eternal",6308,6.200
,,"unnecessary",5806,6.190
,,"early",31474,6.140
,,"injury",5600,6.130
,,"child",10591,6.060
,,"spiritual",9025,6.060
,,"cardiovascular",5021,6.060
,,"unexplained",4274,6.010
,,"Covid-19",4836,6.000
,,"drug-related",4062,5.970
,,"gruesome",4133,5.960
,,"fetal",4265,5.940
,,"gun",5696,5.900
,,"needless",3879,5.890
,,"napalm",3745,5.860
,,"neuronal",3870,5.850
,,"shooting",4085,5.840
,,"natural",15571,5.830
,,"physical",12711,5.820
,,"COVID",4073,5.820
,,"recent",17613,5.780
,,"mass",5999,5.770
,,"inevitable",3855,5.720
,,"avoidable",3429,5.720
,,"cancer-related",3370,5.710
,,"opioid",3594,5.690
,,"apoptotic",3287,5.670
,,"brutal",3812,5.650
,,"traffic",5437,5.640
,,"apparent",4192,5.630
,,"Covid",3434,5.630
,,"til",3256,5.630
,,"suicide",3927,5.620
,,"sacrificial",3253,5.620
,,"road",6220,5.590
,,"own",35638,5.580
,,"unnatural",3150,5.560
,,"total",11300,5.560
,,"drug",6855,5.510
,,"subsequent",5003,5.510
,,"flu",3085,5.410
,,"senseless",2791,5.410
,,"character",4628,5.370
,,"death",4886,5.350
,,"cruel",2896,5.350
,,"cause",3061,5.330
,,"sad",3324,5.320
,,"opioid-related",2518,5.290
,,"unfortunate",2904,5.290
,,"illness",2653,5.260
,,"horrific",2676,5.260
,,"more",40876,5.210
,,"quick",5347,5.180
,,"disease",3577,5.160
,,"coronavirus-related",2249,5.120
,,"heat",3553,5.120
,,"reported",2292,5.120
,,"perinatal",2181,5.060
,,"suffering",2168,5.040
,,"sin",2189,5.030
,,"pedestrian",2328,5.010
death,"nouns modified by X",,1821484,15.650
,,"penalty",201396,11.240
,,"toll",127919,10.930
,,"sentence",91875,9.890
,,"threat",64419,9.140
,,"certificate",55400,9.010
,,"row",37547,8.820
,,"eater",26167,8.740
,,"metal",30229,8.340
,,"squad",26568,8.340
,,"knell",16222,8.170
,,"camp",25329,7.730
,,"rate",97129,7.670
,,"spiral",10523,7.450
,,"inmate",8809,7.150
,,"warrant",9358,7.130
,,"wish",8871,7.040
,,"grip",8831,6.980
,,"trap",7882,6.930
,,"notice",10793,6.820
,,"date",26189,6.820
,,"cab",6849,6.790
,,"march",7136,6.770
,,"benefit",21036,6.740
,,"syndrome",9568,6.680
,,"blow",6834,6.610
,,"throe",5320,6.570
,,"bed",10310,6.520
,,"scene",14298,6.420
,,"anniversary",7804,6.400
,,"count",7939,6.330
,,"burial",4812,6.330
,,"cult",4960,6.310
,,"record",19170,6.230
,,"ray",4584,6.080
,,"lawsuit",4457,5.960
,,"traps",3843,5.940
,,"unknown",3828,5.940
,,"mask",4625,5.820
,,"note",9799,5.780
,,"panel",8031,5.730
,,"destruction",3726,5.700
,,"injury",6120,5.590
,,"resurrection",2705,5.550
,,"tax",6768,5.510
,,"struggle",4083,5.480
,,"band",6835,5.410
,,"match",5308,5.380
,,"case",14647,5.350
,,"death",4886,5.350
,,"knight",2370,5.310
,,"proof",3001,5.290
,,"chamber",2984,5.260
,,"statute",2537,5.150
,,"claim",4552,5.080
,,"glare",1879,5.030
death,"verbs with X as object",,1709284,14.690
,,"cause",145724,8.850
,,"die",47317,8.710
,,"mourn",22714,8.650
,,"report",54717,8.160
,,"fake",12912,7.870
,,"avenge",10736,7.630
,,"investigate",18709,7.400
,,"confirm",18130,7.370
,,"record",23009,7.330
,,"escape",12337,7.310
,,"suffer",16673,7.290
,,"fear",9593,7.180
,,"prevent",27213,7.150
,,"follow",90993,7.130
,,"attribute",8598,7.070
,,"shoot",12921,6.860
,,"register",10107,6.810
,,"occur",7611,6.790
,,"face",21503,6.720
,,"induce",8096,6.680
,,"announce",18235,6.670
,,"witness",7704,6.600
,,"hasten",5149,6.570
,,"relate",15147,6.380
,,"surround",10286,6.370
,,"survive",7349,6.330
,,"mean",18691,6.270
,,"cheat",3986,6.190
,,"rule",4940,6.170
,,"risk",4618,6.170
,,"conquer",4433,6.130
,,"commemorate",4313,6.130
,,"predict",5281,5.900
,,"grieve",3289,5.900
,,"link",6586,5.890
,,"deserve",4667,5.850
,,"agonize",3059,5.840
,,"avoid",9489,5.800
,,"experience",9167,5.780
,,"meet",16405,5.750
,,"reduce",17075,5.700
,,"precede",3302,5.700
,,"estimate",4648,5.700
,,"lament",2740,5.650
,,"associate",8048,5.560
,,"drown",2558,5.530
,,"stab",2533,5.490
,,"approach",4430,5.480
,,"inflict",2703,5.480
,,"atone",2353,5.480
,,"accept",7186,5.360
,,"wish",2805,5.340
,,"feign",2109,5.290
,,"count",3142,5.280
,,"avert",2157,5.260
,,"taste",2627,5.250
,,"blame",2817,5.240
,,"linger",2166,5.230
,,"result",3151,5.230
,,"regard",7121,5.180
,,"spell",2161,5.150
,,"overcome",3005,5.140
,,"bring",13943,5.120
,,"involve",9169,5.060
,,"celebrate",4069,5.010
death,"verbs with X as subject",,1218105,10.470
,,"occur",54456,8.700
,,"strand",9650,7.990
,,"result",8857,6.930
,,"attribute",3868,6.410
,,"sadden",3152,6.370
,,"rattle",3098,6.300
,,"spark",2872,6.090
,,"defy",2642,6.060
,,"cause",8971,5.860
,,"come",30309,5.560
,,"punish",1834,5.540
,,"devastate",1758,5.490
,,"report",7752,5.480
,,"prompt",2097,5.480
,,"involve",6195,5.470
,,"follow",11419,5.450
,,"happen",5108,5.400
,,"rise",4063,5.370
,,"bring",6886,5.350
,,"haunt",1649,5.340
,,"affect",4527,5.310
,,"await",1867,5.270
,,"shock",1517,5.260
,,"leave",7125,5.250
,,"trigger",1797,5.250
,,"mark",2382,5.120
,,"ensue",1420,5.090
death,"X and/or ...",,1886428,16.210
,,"injury",102053,10.190
,,"life",157948,9.790
,,"birth",55182,9.630
,,"resurrection",35861,9.200
,,"destruction",39419,9.160
,,"illness",35225,8.880
,,"case",54345,8.520
,,"suffering",24240,8.490
,,"hospitalization",18091,8.230
,,"sin",16925,8.020
,,"disability",18004,7.960
,,"marriage",17982,7.890
,,"death",26018,7.820
,,"disease",24416,7.780
,,"infection",14279,7.590
,,"sickness",11246,7.520
,,"burial",10431,7.440
,,"rebirth",9105,7.270
,,"harm",9435,7.260
,,"damage",12814,7.240
,,"torture",8510,7.050
,,"loss",12394,6.900
,,"violence",10844,6.860
,,"recovery",8064,6.820
,,"divorce",6680,6.730
,,"failure",7628,6.560
,,"decay",5618,6.530
,,"suicide",5685,6.500
,,"accident",6252,6.490
,,"imprisonment",5403,6.470
,,"love",9848,6.410
,,"pain",8384,6.410
,,"disappearance",4516,6.250
,,"coma",4298,6.200
,,"stroke",4868,6.190
,,"war",6741,6.160
,,"hell",4453,6.160
,,"sex",5719,6.140
,,"complication",4131,6.050
,,"misery",3980,6.030
,,"attack",5279,5.990
,,"tax",5460,5.940
,,"hospitalisation",3451,5.890
,,"resignation",3402,5.840
,,"blood",4255,5.810
,,"arrest",3616,5.780
,,"murder",3778,5.720
,,"cancer",4021,5.650
,,"darkness",3125,5.620
,,"grief",3003,5.560
,,"paralysis",2751,5.540
,,"stillbirth",2689,5.530
,,"age",5084,5.530
,,"retirement",2674,5.450
,,"overdose",2515,5.420
,,"funeral",2555,5.400
,,"passion",3202,5.400
,,"admission",2645,5.380
,,"infarction",2427,5.370
,,"fear",3489,5.340
,,"dismemberment",2326,5.330
,,"afterlife",2332,5.320
,,"disaster",2626,5.310
,,"sorrow",2470,5.310
,,"danger",2504,5.260
,,"COVID-19",2389,5.240
,,"mortality",2431,5.230
,,"despair",2234,5.180
,,"starvation",2127,5.150
,,"tragedy",2202,5.150
,,"survival",2321,5.140
,,"abuse",2904,5.120
,,"defeat",2081,5.110
death,"prepositional phrases",,6381986,0.000
,,"... of ""%w""",1348038,11.580
,,"""%w"" of ...",1183764,10.170
,,"... to ""%w""",829377,7.130
,,"""%w"" in ...",417581,3.590
,,"... in ""%w""",388391,3.340
,,"""%w"" by ...",265168,2.280
,,"... after ""%w""",252145,2.170
,,"... for ""%w""",151256,1.300
,,"... until ""%w""",125033,1.070
,,"""%w"" from ...",120826,1.040
,,"... with ""%w""",116973,1.010
,,"""%w"" on ...",110541,0.950
,,"... before ""%w""",84662,0.730
,,"... by ""%w""",81481,0.700
,,"... on ""%w""",70103,0.600
,,"... about ""%w""",66809,0.570
,,"""%w"" at ...",63749,0.550
,,"""%w"" for ...",62499,0.540
,,"""%w"" to ...",58234,0.500
,,"... from ""%w""",54328,0.470
,,"... at ""%w""",50793,0.440
,,"... than ""%w""",38610,0.330
,,"""%w"" as ...",36834,0.320
,,"""%w"" with ...",36510,0.310
,,"... over ""%w""",31450,0.270
,,"... into ""%w""",30576,0.260
,,"""%w"" per ...",28667,0.250
,,"... as ""%w""",26933,0.230
,,"""%w"" among ...",21587,0.190
,,"... upon ""%w""",20710,0.180
,,"... since ""%w""",15869,0.140
,,"""%w"" during ...",15293,0.130
,,"... unto ""%w""",11142,0.100
,,"... like ""%w""",11132,0.100
,,"... through ""%w""",10022,0.090
,,"""%w"" after ...",8378,0.070
,,"... between ""%w""",8163,0.070
,,"""%w"" over ...",7916,0.070
,,"... till ""%w""",7423,0.060
,,"""%w"" within ...",7159,0.060
,,"""%w"" through ...",6396,0.050
,,"""%w"" than ...",6395,0.050
,,"... near ""%w""",6200,0.050
,,"""%w"" before ...",5157,0.040
,,"... against ""%w""",5110,0.040
,,"""%w"" since ...",4929,0.040
,,"""%w"" under ...",4905,0.040
,,"""%w"" into ...",4322,0.040
,,"""%w"" without ...",4216,0.040
,,"... beyond ""%w""",4131,0.040
,,"... behind ""%w""",3498,0.030
,,"... around ""%w""",3121,0.030
,,"""%w"" across ...",3053,0.030
,,"""%w"" upon ...",2960,0.030
,,"... towards ""%w""",2916,0.030
,,"... if ""%w""",2838,0.020
,,"... toward ""%w""",2456,0.020
,,"""%w"" if ...",2028,0.020
,,"""%w"" around ...",1985,0.020
,,"""%w"" unto ...",1810,0.020
,,"... whether ""%w""",1739,0.010
,,"""%w"" because ...",1594,0.010
,,"""%w"" between ...",1591,0.010
,,"... without ""%w""",1557,0.010
,,"""%w"" while ...",1339,0.010
,,"""%w"" until ...",1284,0.010
,,"""%w"" like ...",1002,0.010
,,"""%w"" about ...",989,0.010
,,"""%w"" outside ...",987,0.010
,,"... because ""%w""",935,0.010
,,"""%w"" throughout ...",898,0.010
,,"""%w"" against ...",859,0.010
,,"""%w"" inside ...",838,0.010
,,"""%w"" amongst ...",753,0.010
,,"""%w"" via ...",746,0.010
,,"""%w"" along ...",741,0.010
,,"""%w"" so ...",570,0.000
,,"... during ""%w""",562,0.000
,,"... except ""%w""",515,0.000
,,"... per ""%w""",509,0.000
,,"""%w"" near ...",451,0.000
,,"... out ""%w""",437,0.000
,,"""%w"" behind ...",416,0.000
,,"... so ""%w""",406,0.000
,,"""%w"" off ...",379,0.000
,,"... past ""%w""",359,0.000
,,"... among ""%w""",346,0.000
,,"... under ""%w""",271,0.000
,,"... forth ""%w""",271,0.000
,,"... while ""%w""",244,0.000
,,"""%w"" despite ...",230,0.000
,,"... vs. ""%w""",223,0.000
,,"""%w"" en ...",220,0.000
,,"... though ""%w""",210,0.000
,,"""%w"" till ...",178,0.000
,,"""%w"" above ...",176,0.000
,,"""%w"" unless ...",158,0.000
,,"... despite ""%w""",153,0.000
,,"... off ""%w""",151,0.000
,,"""%w"" down ...",145,0.000
death,"adjective predicates of X",,174375,1.500
,,"attributable",3492,8.700
,,"imminent",2600,8.540
,,"preventable",2092,8.490
,,"inevitable",2929,8.330
,,"accidental",1649,8.180
,,"due",45676,8.060
,,"sudden",1448,8.000
,,"tragic",1486,7.980
,,"unknown",4166,7.970
,,"unexpected",1729,7.950
,,"instantaneous",999,7.470
,,"near",1492,7.250
,,"certain",1580,7.190
,,"permanent",976,7.020
,,"magnetic",668,6.900
,,"worldwide",943,6.860
,,"suspicious",796,6.840
,,"natural",917,6.780
,,"sad",806,6.680
,,"avoidable",529,6.590
,,"preferable",648,6.550
,,"uncertain",775,6.460
,,"painful",658,6.430
,,"foreseeable",429,6.290
,,"unclear",692,6.200
,,"real",1125,6.080
,,"shocking",429,6.070
,,"rare",965,6.060
,,"undetermined",352,6.010
,,"unrelated",471,5.960
,,"final",837,5.880
,,"nationwide",614,5.860
,,"overall",648,5.810
