"﻿""corpus""",preloaded/ententen21_tt31
,sudden,72128,9.670
,untimely,42172,9.310
,premature,38253,9.080
,tragic,35295,8.850
,cell,69984,8.740
,accidental,22504,8.310
,overdose,2265,9.100
,civilian,19427,7.860
,violent,21586,7.810
,wrongful,14379,7.730
,maternal,13732,7.530
,cancer,11740,10.930
,birth,4261,11.960
,programmed,10338,7.300
,mysterious,13108,7.290
,painful,11979,7.280
,preventable,2092,8.490
,infant,331,8.730
,slow,16167,7.180
,unexpected,1729,7.950
,cardiac,10885,7.150
,COVID-19,5936,10.080
,excess,9941,6.900
,impending,7980,6.820
,horrible,8903,6.810
,imminent,2600,8.540
,instant,8172,6.520
,suspicious,796,6.840
,life,1116,12.390
,related,12453,6.460
,brain,8529,6.330
,eventual,5919,6.330
,neonatal,5424,6.330
,certain,152,12.840
,near,1492,7.250
,coronavirus,2156,8.990
,eternal,6308,6.200
,unnecessary,5806,6.190
,early,31474,6.140
,injury,102053,10.190
,child,2664,9.760
,spiritual,9025,6.060
,cardiovascular,5021,6.060
,unexplained,4274,6.010
,Covid-19,1485,8.510
,drug-related,4062,5.970
,gruesome,4133,5.960
,fetal,4265,5.940
,gun,31,6.210
,needless,3879,5.890
,napalm,3745,5.860
,neuronal,3870,5.850
,shooting,4085,5.840
,natural,917,6.780
,physical,12711,5.820
,COVID,598,7.250
,recent,17613,5.780
,mass,5999,5.770
,inevitable,2929,8.330
,avoidable,529,6.590
,cancer-related,3370,5.710
,opioid,424,6.820
,apoptotic,3287,5.670
,brutal,3812,5.650
,traffic,5437,5.640
,apparent,4192,5.630
,Covid,536,7.120
,til,3256,5.630
,suicide,15,9.270
,sacrificial,3253,5.620
,road,18,6.770
,own,218,6.980
,unnatural,3150,5.560
,total,421,6.400
,drug,84,7.120
,subsequent,5003,5.510
,flu,1003,7.960
,senseless,2791,5.410
,character,1876,5.840
,death,32,12.980
,cruel,62,5.690
,cause,34,11.860
,sad,271,6.930
,opioid-related,2518,5.290
,unfortunate,2904,5.290
,illness,16,9.940
,horrific,2676,5.260
,more,19319,5.830
,quick,5347,5.180
,disease,55,11.480
,coronavirus-related,2249,5.120
