"corpus","preloaded/ententen21_tt31"
"subcorpus","-"
Keyword,Gramrel,Collocate,Freq,Score
fitness,"modifiers of X",,201734,17.780
,,"cardiorespiratory",2609,8.680
,,"aerobic",3568,8.610
,,"cardiovascular",4477,8.000
,,"physical",35470,7.730
,,"merchantability",1046,7.400
,,"MERCHANTABILITY",921,7.210
,,"match",2822,7.090
,,"cardio",981,7.000
,,"reproductive",1594,6.460
,,"inclusive",1442,6.140
,,"nutrition",1418,6.030
,,"health-related",426,5.630
,,"Cardiorespiratory",286,5.530
,,"muscular",560,5.510
,,"Darwinian",304,5.350
,,"wellness",534,5.340
,,"cardio-respiratory",241,5.280
,,"overall",4528,5.220
,,"functional",1497,5.130
,,"diet",558,5.120
,,"evolutionary",720,5.050
,,"pole",396,5.040
,,"peak",599,5.010
fitness,"nouns modified by X",,661237,58.270
,,"tracker",15239,9.010
,,"center",73819,8.620
,,"trainer",7922,7.780
,,"instructor",9146,7.740
,,"centre",22918,7.680
,,"enthusiast",7096,7.520
,,"routine",8112,7.440
,,"goal",19509,6.880
,,"class",25197,6.720
,,"regimen",2873,6.660
,,"equipment",13303,6.590
,,"fanatic",2141,6.490
,,"studio",6845,6.380
,,"guru",1998,6.220
,,"club",7857,6.170
,,"gym",1986,6.100
,,"regime",4631,6.050
,,"professional",7204,6.020
,,"level",33271,5.970
,,"facility",13283,5.970
,,"app",5202,5.940
,,"nutrition",1936,5.890
,,"room",13903,5.820
,,"buff",1399,5.810
,,"workout",1787,5.740
,,"journey",3479,5.730
,,"tracking",1727,5.730
,,"training",8182,5.700
,,"coach",3836,5.670
,,"suite",2617,5.660
,,"freak",1076,5.580
,,"expert",5322,5.560
,,"test",9670,5.540
,,"industry",10019,5.220
,,"challenge",5229,5.200
,,"landscape",2531,5.180
,,"wearable",749,5.160
,,"craze",740,5.040
,,"band",4094,5.030
fitness,"verbs with X as object",,115678,10.190
,,"regain",2222,6.960
,,"improve",12831,5.540
,,"prove",1784,5.140
fitness,"verbs with X as subject",,48037,4.230
,,"freak",731,7.670
,,"track",1486,6.240
,,"app",101,5.280
,,"mind",116,5.210
,,"exercise",321,5.040
fitness,"X and/or ...",,230411,20.300
