"﻿""corpus""",preloaded/ententen21_tt31
,cardiorespiratory,2609,8.680
,aerobic,3568,8.610
,cardiovascular,4477,8.000
,physical,35470,7.730
,merchantability,3537,8.940
,MERCHANTABILITY,1558,7.780
,match,2822,7.090
,cardio,981,7.000
,reproductive,1594,6.460
,inclusive,1442,6.140
,nutrition,6682,8.330
,Cardiorespiratory,286,5.530
,muscular,560,5.510
,Darwinian,304,5.350
,wellness,26,8.630
,overall,4528,5.220
,functional,1497,5.130
,diet,2023,6.680
,evolutionary,720,5.050
,pole,396,5.040
,peak,324,5.520
,tracker,15239,9.010
,center,73819,8.620
,trainer,7922,7.780
,instructor,9146,7.740
,centre,22918,7.680
,enthusiast,7096,7.520
,routine,438,8.380
,goal,19509,6.880
,class,25197,6.720
,regimen,2873,6.660
,equipment,13303,6.590
,fanatic,68,7.740
,studio,6845,6.380
,guru,1998,6.220
,club,7857,6.170
,gym,57,6.330
,regime,4631,6.050
,professional,695,6.980
,level,15251,6.490
,facility,13283,5.970
,app,5202,5.940
,room,13903,5.820
,buff,1399,5.810
,workout,12,7.500
,journey,28,5.930
,tracking,1727,5.730
,training,8182,5.700
,coach,3836,5.670
,suite,2617,5.660
,freak,731,7.670
,expert,5322,5.560
,test,716,5.860
,industry,10019,5.220
,challenge,5229,5.200
,landscape,2531,5.180
,wearable,749,5.160
,craze,740,5.040
,band,4094,5.030
,regain,2222,6.960
,improve,12831,5.540
,prove,1784,5.140
,track,1486,6.240
,mind,116,5.210
,exercise,108,7.220
,health,35177,8.300
,sport,5445,7.380
,stamina,996,6.770
,yoga,1507,6.730
,recreation,1309,6.660
,endurance,1038,6.600
,fitness,30,7.530
,strength,11,6.440
,bodybuilding,607,6.390
,wellbeing,1172,6.380
,fun,13,6.970
,lifestyle,62,9.590
,propriety,459,5.930
,eating,526,5.720
,conditioning,702,5.660
,suitability,395,5.630
,fashion,809,5.530
,flexibility,951,5.500
,beauty,1176,5.330
,agility,406,5.230
,survival,540,5.160
,ability,1796,5.130
,swimming,25,9.800
,tennis,386,5.040
,spa,522,5.040
,metric,40,5.260
,requisite,22,7.080
,passion,1061,6.350
,predictor,54,5.560
,hobby,23,6.270
,organism,206,8.300
,registrant,64,7.120
,male,70,6.470
,associate,58,6.110
,offspring,160,6.940
,Mkhwebane,17,6.000
,Pandya,17,5.940
,genotype,22,6.900
,NMC,17,5.880
,athlete,95,5.790
,Federer,24,5.700
,population,44,5.670
,applicant,241,5.650
,striker,25,5.620
,nominee,28,5.600
,individual,466,5.490
,candidate,168,5.470
,Kante,12,5.470
,Ronaldo,22,5.450
,datum,17,5.440
,GMC,13,5.420
,Matip,11,5.370
,parasite,13,5.300
,Messi,19,5.280
,Nadal,17,5.280
,practitioner,54,5.270
,female,29,5.270
,Kane,27,5.270
,Neymar,13,5.260
,species,36,5.250
,Wilshere,10,5.210
,meme,10,5.200
,squad,20,5.190
,seafarer,13,5.180
,Bale,14,5.170
,Rohit,10,5.150
,Sen,18,5.140
,player,339,5.120
,Aguero,10,5.110
