"﻿""corpus""",preloaded/ententen21_tt31
,religious,91530,9.370
,academic,43103,8.430
,press,32573,10.240
,fundamental,18739,7.850
,Iraqi,8659,7.400
,individual,30104,7.290
,creative,16223,7.130
,artistic,8031,7.000
,intellectual,8341,6.910
,operation,7681,6.820
,personal,32015,6.740
,democracy,38092,9.910
,newfound,3823,6.730
,complete,17102,6.700
,absolute,379,7.420
,reproductive,4194,6.540
,freedom,11,12.550
,democratic,5262,6.440
,Amendment,233,6.900
,speech,128974,11.800
,economic,18341,6.320
,true,12985,6.280
,medium,10883,6.220
,right,250,10.500
,sexual,8941,6.110
,liberty,27408,9.600
,relative,3968,5.860
,political,17425,5.850
,financial,15337,5.840
,constitutional,3505,5.810
,peace,15221,8.010
,monetary,2845,5.760
,more,57039,5.730
,justice,20884,8.660
,Internet,7248,5.670
,pension,2619,5.620
,equality,19,10.360
,total,9883,5.560
,basic,7965,5.480
,human,15395,5.420
,enduring,1689,5.420
,much,11430,5.390
,expression,112602,11.610
,spiritual,4262,5.350
,religion,39592,9.910
,unlimited,92,5.560
,software,13,6.880
,ultimate,131,5.860
,experimental,2508,5.150
,dignity,10519,8.200
,guarantee,12588,7.530
,fighter,48692,10.210
,struggle,12178,10.020
,fry,1086,6.220
,independence,16134,8.820
,rider,2054,6.150
,seeker,15,7.090
,flotilla,530,5.760
,movement,52045,9.970
,prosperity,19,7.840
,camping,602,5.620
,lover,1655,5.600
,autonomy,6560,7.720
,advocate,1145,6.450
,tolerance,3582,6.740
,privacy,7978,7.630
,fairness,1212,5.280
,happiness,19,7.940
,restrict,14909,7.990
,defend,14970,7.640
,exercise,4222,7.580
,enjoy,13,10.020
,curtail,4529,7.070
,protect,21,8.960
,regain,5031,6.820
,respect,2920,7.410
,preserve,7678,6.710
,grant,8788,6.620
,limit,29,8.050
,violate,5801,6.580
,demand,6346,6.490
,value,215,9.600
,abridge,2601,6.360
,gain,11440,6.290
,threaten,4635,6.270
,deny,5945,6.200
,suppress,3117,6.100
,attain,3186,6.060
,undermine,3149,6.060
,uphold,2658,5.960
,secure,5700,5.940
,want,1488,8.870
,sacrifice,33,7.770
,stifle,1995,5.870
,seek,8707,5.790
,celebrate,5692,5.780
,promote,8959,5.750
,safeguard,2086,5.730
,achieve,8305,5.640
,promise,2479,6.680
,allow,15,9.560
,curb,455,7.720
,hate,2614,5.420
,experience,6089,5.390
,ensure,7285,5.370
,embrace,2558,5.360
,erode,1423,5.360
,cherish,1357,5.340
,afford,2148,5.320
,restore,3131,5.310
,enshrine,1262,5.300
,mean,19,7.180
,proclaim,1385,5.210
,surrender,1335,5.210
,destroy,3698,5.190
,give,57,8.690
,abuse,356,6.420
,lose,9990,5.100
,Rights,15426,8.810
,flexibility,8922,7.770
,choice,29884,9.200
,responsibility,280,10.730
,security,20,11.610
,joy,4666,6.730
,liberation,3001,6.720
,slavery,121,9.750
,opportunity,7736,6.600
,sovereignty,2631,6.420
,creativity,3354,6.250
,openness,2271,6.220
,truth,38,8.420
,life,1985,7.190
,safety,27,7.670
,individuality,1769,5.970
,love,23,6.950
,power,405,6.240
,capitalism,83,6.290
,pluralism,1433,5.690
,hope,1043,6.360
,conscience,12786,9.000
,mobility,1695,5.590
,assembly,10376,8.570
,protection,3586,6.850
,wealth,1779,5.450
,individualism,1179,5.400
,diversity,2051,5.370
,comfort,1895,5.340
,progress,123,6.600
,adventure,1571,5.310
,control,16,10.370
,integrity,1681,5.290
,law,688,7.080
,space,1069,5.470
,fun,2032,5.240
,unity,1206,5.200
,censorship,304,6.620
,harmony,1180,5.110
,association,18248,9.180
,privilege,112,6.510
,confidence,1410,5.040
,loving,537,8.230
,indivisible,204,7.410
,precious,38,7.380
,inseparable,134,6.330
,illusory,102,6.320
,incompatible,504,7.290
,inherent,404,5.980
,universal,152,5.700
,priceless,95,5.590
,meaningless,41,8.440
,untidy,51,5.480
,free,17,9.390
,attainable,64,5.290
,fragile,89,5.230
,paramount,120,5.150
,incomplete,100,8.750
,conditional,60,5.020
,vigilance,414,9.010
,illusion,243,7.290
,birthright,115,7.140
,license,14,7.500
,absence,66,7.220
,word,108,7.570
,principle,66,8.850
,ideal,58,8.930
,gift,341,6.410
,concept,121,7.990
,goal,255,6.200
,vigilence,47,5.930
,ability,301,5.920
,condition,946,7.510
,precondition,24,5.900
,anarchy,17,6.050
,cornerstone,84,5.750
,essence,68,5.680
,dream,1878,6.440
,tyranny,12,11.550
,good,62,5.560
,capacity,30,5.730
,luxury,57,5.410
,courage,34,5.380
,end,72,5.640
,notion,19,7.300
,theme,23,6.630
,foundation,1273,5.410
,Word,44,5.170
,burden,260,6.290
,willingness,32,5.140
,prerequisite,61,5.100
,ignorance,31,5.100
,reality,87,5.090
,desire,4133,8.290
,myth,50,5.070
,state,24,5.730
,fight,20009,9.960
,sentinel,148,10.180
,cause,289,8.070
,flame,30,7.010
,torch,16,6.770
,goblin,11,6.730
,frontier,34,6.690
,banner,24,6.630
,enemy,3487,7.350
,foe,22,6.200
,light,101,6.000
,defender,2326,7.010
,bell,14,5.490
,triumph,26,5.480
,soil,16,5.330
,sake,236,5.310
,air,812,5.420
,citizen,1212,7.890
,Kong,527,7.400
,Americans,179,7.530
,slave,818,9.090
,Franzen,36,8.530
,people,15,7.170
,American,196,6.430
,House,237,6.320
,Mumia,127,6.300
,Assange,143,6.230
,Palestinians,165,6.520
,other,3827,6.310
,Vanunu,107,6.110
,journalist,166,6.090
,Roosevelt,166,6.030
,Citizens,145,5.920
,person,1410,5.900
,anyone,388,5.870
,user,1036,5.830
,America,1708,5.810
,India,897,5.810
,Roach,83,5.700
,woman,3307,5.680
,Caribbean,79,5.530
,FDR,84,5.480
,everyone,656,5.460
,worker,558,5.450
,Kayed,85,6.110
,humanity,159,5.400
,prisoner,831,8.440
,Rockwell,65,5.290
,Canadian,69,5.260
,man,1866,5.260
,SMM,58,5.240
,professor,92,5.230
,Christian,201,6.110
,hostage,54,5.110
,Kashmir,67,5.100
,country,95,7.050
,our,80649,5.010
,request,13694,8.810
,thought,15043,8.520
,Act,9933,7.960
,navigation,5690,7.950
,worship,672,8.620
,action,11346,7.380
,belief,1580,7.310
,opinion,5049,7.180
,will,4058,7.130
,information,10668,6.800
,Information,2713,6.730
,contract,3646,6.510
,sea,2530,6.450
,Press,2134,6.080
,inquiry,1380,5.680
,City,1954,5.660
,access,1581,5.610
,act,75,7.210
,trade,34,7.350
,spirit,2725,6.000
,establishment,999,5.270
,motion,1126,5.230
,communication,1506,5.180
,travel,102,5.640
,degree,52325,9.980
,violation,112,8.140
,symbol,4429,7.340
,defense,3507,7.290
,restriction,8872,9.550
,sense,13971,7.070
,feeling,4678,6.970
,deprive,25,7.110
,idea,89,8.460
,loss,7176,6.740
,suppression,1796,6.630
,champion,1810,6.590
,beacon,1436,6.470
,taste,2180,6.410
,erosion,1336,6.300
,conception,1614,6.270
,denial,1680,6.250
,bastion,1147,6.160
,land,40,7.020
,pursuit,1839,6.110
,defence,1310,6.110
,infringement,161,10.160
,price,2772,5.890
,issue,77,6.040
,measure,1958,5.840
,meaning,2057,5.820
,deprivation,869,5.750
,importance,2859,5.670
,celebration,1376,5.670
,deal,1737,5.660
,lack,6924,5.640
,question,21,6.020
,message,1140,5.590
,name,4542,5.570
,curtailment,725,5.570
,definition,1942,5.560
,search,592,7.240
,limitation,63,8.520
,birth,1041,5.400
,favor,1271,5.370
,atmosphere,852,5.370
,realm,1037,5.370
,vision,1229,5.360
,expense,975,5.270
,preservation,786,5.260
,advantage,2106,5.180
,tradition,1010,5.180
,blessing,645,5.150
,promotion,796,5.130
,moment,1321,5.120
,repression,15,6.880
,enjoyment,613,5.060
,quest,2697,7.990
,die,1957,7.920
,battle,1983,7.690
,bid,1497,7.410
,yearning,974,7.340
,yearn,1024,7.310
,stand,2430,7.300
,longing,997,7.220
,war,907,6.990
,exchange,1718,6.920
,victory,18,7.310
,cry,745,6.850
,blow,131,8.680
,aspiration,14,9.420
