"corpus","preloaded/ententen21_tt31"
"subcorpus","-"
Keyword,Gramrel,Collocate,Freq,Score
power,"modifiers of X",,7017748,35.240
,,"nuclear",120259,8.680
,,"solar",92506,8.390
,,"purchasing",59674,8.070
,,"political",126262,8.020
,,"wind",61370,7.920
,,"more",242746,7.590
,,"much",86551,7.580
,,"electric",49652,7.460
,,"electrical",41866,7.340
,,"healing",36201,7.300
,,"enough",49667,7.290
,,"processing",37544,7.260
,,"computing",33043,7.180
,,"magical",33945,7.160
,,"output",32708,7.050
,,"military",47697,7.040
,,"battery",32299,7.030
,,"bargaining",27953,6.980
,,"less",38645,6.960
,,"great",134479,6.930
,,"full",70161,6.930
,,"super",30743,6.890
,,"executive",31338,6.870
,,"foreign",39086,6.850
,,"absolute",28720,6.810
,,"supernatural",24202,6.770
,,"economic",43645,6.730
,,"world",36337,6.730
,,"state",42569,6.680
,,"raw",25283,6.620
,,"high",94900,6.550
,,"spiritual",26789,6.550
,,"psychic",20237,6.510
,,"maximum",24712,6.460
,,"Western",23165,6.460
,,"police",26892,6.420
,,"divine",20138,6.410
,,"colonial",19680,6.410
,,"legislative",21143,6.400
,,"soft",23172,6.360
,,"low",47729,6.350
,,"real",47353,6.350
,,"European",26466,6.320
,,"veto",17126,6.310
,,"star",19435,6.270
,,"own",68470,6.250
,,"engine",18704,6.190
,,"such",47484,6.160
,,"market",25719,6.130
,,"immense",15983,6.130
,,"creative",20382,6.100
,,"major",35353,6.050
,,"will",14777,6.050
,,"judicial",15619,6.040
,,"extra",22304,6.030
,,"AC",14072,5.970
,,"imperial",13902,5.960
,,"emergency",17190,5.940
,,"transformative",13276,5.920
,,"extraordinary",14595,5.910
,,"discretionary",13081,5.900
,,"true",20499,5.880
,,"brain",15120,5.880
,,"renewable",14351,5.880
,,"spending",13675,5.880
,,"destructive",13044,5.860
,,"enormous",14110,5.860
,,"predictive",12784,5.840
,,"special",30271,5.830
,,"motive",12357,5.830
,,"unlimited",13043,5.820
,,"sovereign",12669,5.820
,,"corporate",16939,5.800
,,"buying",12198,5.790
,,"air",18122,5.780
,,"tremendous",13097,5.770
,,"regional",15870,5.740
,,"awesome",12838,5.710
,,"incredible",13394,5.700
,,"magic",12168,5.700
,,"government",19379,5.690
,,"inherent",11642,5.690
,,"computational",11589,5.660
,,"decision-making",11028,5.640
,,"occupying",10717,5.630
,,"sufficient",12276,5.620
,,"imperialist",10719,5.620
,,"voting",10934,5.560
,,"peak",10643,5.550
,,"sheer",10789,5.530
,,"hydroelectric",10053,5.530
,,"presidential",11820,5.510
,,"constitutional",11098,5.510
,,"input",10988,5.480
,,"supreme",9953,5.480
,,"dominant",10409,5.460
,,"limited",13152,5.450
,,"explanatory",9512,5.450
,,"money",11124,5.430
,,"monopoly",9366,5.430
power,"nouns modified by X",,5383407,27.040
,,"supply",346649,10.330
,,"plant",389222,10.250
,,"consumption",107710,8.980
,,"outage",81457,8.900
,,"generation",92671,8.520
,,"station",125453,8.490
,,"output",70870,8.340
,,"grid",52569,8.150
,,"source",108515,7.990
,,"struggle",44468,7.790
,,"steering",37524,7.790
,,"cord",38998,7.780
,,"play",48701,7.640
,,"cable",38690,7.560
,,"line",103434,7.520
,,"button",41593,7.480
,,"amplifier",26020,7.210
,,"structure",53641,7.190
,,"failure",27603,6.980
,,"switch",24577,6.910
,,"tool",48798,6.880
,,"relation",26266,6.860
,,"adapter",20423,6.830
,,"unit",43138,6.820
,,"density",20843,6.730
,,"generator",19984,6.720
,,"dynamics",17687,6.570
,,"grab",16040,6.570
,,"outlet",19300,6.550
,,"amp",15900,6.510
,,"cut",20066,6.500
,,"sector",27775,6.490
,,"connector",16352,6.460
,,"system",105515,6.440
,,"broker",14705,6.360
,,"efficiency",17112,6.340
,,"meter",15079,6.330
,,"capacity",19990,6.280
,,"user",24152,6.260
,,"level",50332,6.220
,,"rating",16789,6.210
,,"brake",13255,6.210
,,"window",20554,6.190
,,"transformer",12166,6.150
,,"delivery",14932,6.080
,,"imbalance",11558,6.080
,,"pack",13553,6.080
,,"elite",11978,6.080
,,"loss",19296,6.070
,,"surge",11631,6.050
,,"bank",16420,6.050
,,"requirement",23227,6.040
,,"electronics",11407,6.030
,,"company",43565,6.010
,,"base",17711,5.990
,,"transmission",12134,5.960
,,"strip",11813,5.960
,,"distribution",13789,5.940
,,"vacuum",10474,5.940
,,"usage",12084,5.920
,,"pole",10627,5.890
,,"socket",10074,5.850
,,"project",35118,5.840
,,"politics",11704,5.820
,,"demand",13548,5.810
,,"industry",23185,5.810
,,"reserve",10767,5.780
,,"input",11289,5.760
