"﻿""corpus""",preloaded/ententen21_tt31
,nuclear,120259,8.680
,solar,92506,8.390
,purchasing,59674,8.070
,political,126262,8.020
,wind,1199,7.970
,more,242746,7.590
,much,86551,7.580
,electric,49652,7.460
,electrical,41866,7.340
,healing,36201,7.300
,enough,49667,7.290
,processing,37544,7.260
,computing,33043,7.180
,magical,33945,7.160
,output,70870,8.340
,military,47697,7.040
,battery,22,11.160
,bargaining,27953,6.980
,less,38645,6.960
,great,9400,7.050
,full,70161,6.930
,super,30743,6.890
,executive,267,8.890
,foreign,39086,6.850
,absolute,28720,6.810
,supernatural,24202,6.770
,economic,43645,6.730
,world,44,8.200
,state,21,10.810
,raw,25283,6.620
,high,94900,6.550
,spiritual,26789,6.550
,psychic,20237,6.510
,maximum,24712,6.460
,Western,23165,6.460
,police,26892,6.420
,divine,20138,6.410
,colonial,19680,6.410
,legislative,21143,6.400
,soft,23172,6.360
,low,1211,7.230
,real,47353,6.350
,European,26466,6.320
,veto,17126,6.310
,star,19435,6.270
,own,68470,6.250
,engine,2852,9.030
,such,47484,6.160
,market,370,6.530
,immense,15983,6.130
,creative,20382,6.100
,major,35353,6.050
,will,4309,8.270
,judicial,15619,6.040
,extra,22304,6.030
,AC,56,6.420
,imperial,13902,5.960
,emergency,220,7.290
,transformative,13276,5.920
,extraordinary,14595,5.910
,discretionary,13081,5.900
,true,20499,5.880
,brain,16,6.160
,renewable,437,6.910
,spending,13675,5.880
,destructive,13044,5.860
,enormous,14110,5.860
,predictive,12784,5.840
,special,30271,5.830
,motive,12357,5.830
,unlimited,760,6.490
,sovereign,12669,5.820
,corporate,16939,5.800
,buying,12198,5.790
,air,18122,5.780
,tremendous,13097,5.770
,regional,15870,5.740
,awesome,12838,5.710
,incredible,13394,5.700
,magic,23,6.140
,government,33,8.860
,inherent,2740,7.730
,computational,11589,5.660
,decision-making,11028,5.640
,occupying,10717,5.630
,sufficient,1805,6.620
,imperialist,10719,5.620
,voting,10934,5.560
,peak,5890,6.600
,sheer,10789,5.530
,hydroelectric,10053,5.530
,presidential,11820,5.510
,constitutional,11098,5.510
,input,13,6.670
,supreme,9953,5.480
,dominant,10409,5.460
,limited,705,6.000
,explanatory,9512,5.450
,money,36939,8.100
,monopoly,1563,8.090
,supply,346649,10.330
,plant,389222,10.250
,consumption,107710,8.980
,outage,471,9.470
,generation,92671,8.520
,station,125453,8.490
,grid,158,10.820
,source,40367,8.220
,struggle,9902,9.500
,steering,37524,7.790
,cord,38998,7.780
,play,48701,7.640
,cable,26,8.190
,line,103434,7.520
,button,231,10.170
,amplifier,26020,7.210
,structure,53641,7.190
,failure,27603,6.980
,switch,20,11.000
,tool,48798,6.880
,relation,130,7.850
,adapter,20,7.400
,unit,107,8.580
,density,20843,6.730
,generator,44,9.030
,dynamics,17687,6.570
,grab,1285,7.440
,outlet,19300,6.550
,amp,116,8.630
,cut,2567,8.430
,sector,156,7.830
,connector,52,8.200
,system,118,9.980
,broker,14705,6.360
,efficiency,359,6.830
,meter,122,7.230
,capacity,19990,6.280
,user,24152,6.260
,level,44,7.430
,rating,16789,6.210
,brake,13255,6.210
,window,20554,6.190
,transformer,15,7.480
,delivery,14932,6.080
,imbalance,4910,6.450
,pack,13553,6.080
,elite,13,8.810
,loss,22654,7.720
,surge,11631,6.050
,bank,16420,6.050
,requirement,23227,6.040
,electronics,16,7.710
,company,17,6.480
,base,17711,5.990
,transmission,19,7.110
,strip,201,8.110
,distribution,10141,7.020
,vacuum,10474,5.940
,usage,12084,5.920
,pole,10627,5.890
,socket,16,9.420
,project,703,6.370
,politics,24,6.230
,demand,5718,7.100
,industry,77,6.520
,reserve,10767,5.780
,spectrum,9821,5.720
,module,37,7.380
,production,16171,5.700
,producer,42,5.810
,utility,81,7.920
,management,18394,5.680
,circuit,27,8.430
,bill,70,5.940
,agreement,94,7.320
,ranking,9230,5.620
,dissipation,8159,5.620
,chord,8390,5.600
,equipment,31,8.640
,reactor,250,6.080
,shortage,8442,5.530
,converter,8092,5.450
,ballad,7387,5.440
,seat,11408,7.520
,plug,1149,7.910
,saving,8114,5.360
,mode,775,13.530
,hitter,850,6.250
,point,334,6.080
,pop,7032,5.320
,draw,70,9.450
,up,6838,5.290
,control,127,8.000
,factor,633,5.400
,wire,89,8.190
,ranger,6667,5.260
,device,101,10.250
,setting,34,9.820
,exercise,51254,9.670
,harness,57306,8.340
,wield,34,9.420
,gain,33,9.180
,generate,20,11.300
,seize,35023,7.530
,lose,79638,7.530
,have,45,12.080
,possess,14,10.790
,stay,16082,8.250
,increase,12276,7.180
,abuse,54889,9.730
,grant,32284,7.140
,use,18,8.490
,limit,108,8.540
,give,53,9.760
,restore,23666,6.760
,demonstrate,25991,6.740
,hold,15,12.290
,leverage,18957,6.670
,retain,39,7.920
,consolidate,17417,6.600
,deliver,511,7.270
,lack,16787,6.550
,underestimate,15610,6.480
,consume,260,6.690
,delegate,15443,6.460
,unleash,15563,6.440
,confer,165,8.000
,transfer,18037,8.050
,assume,159,10.320
,produce,15,10.910
,transmit,392,8.360
,provide,48,10.470
,need,13,8.640
,vest,3228,8.160
,reduce,30139,6.080
,exert,11985,6.070
,combine,2942,6.250
,require,16,7.810
,concentrate,11583,6.020
,feel,15,7.130
,apply,18262,5.990
,maintain,21217,5.980
,regain,11420,5.950
,understand,21032,5.940
,expand,15102,5.880
,radiate,9698,5.810
,derive,11091,5.770
,acquire,12779,5.760
,show,49,12.240
,purchase,13454,5.700
,utilize,11214,5.700
,want,19782,5.690
,buy,20580,5.670
,discover,12800,5.650
,get,49,7.200
,rise,21101,9.790
,unlock,8904,5.570
,compute,8536,5.530
,bring,422,7.540
,usurp,7935,5.530
,take,4121,8.990
,boost,97,6.800
,enhance,11405,5.510
,grow,975,7.060
,distribute,9715,5.480
,extend,10824,5.470
,realize,8940,5.440
,put,86,12.080
,devolve,7313,5.410
,turn,51,10.050
,save,7263,6.490
,seek,124,5.660
,stop,15,5.510
,share,437,6.860
,recognize,10393,5.350
,experience,18,6.130
,pull,9166,5.260
,obtain,10942,5.250
,develop,18,11.190
,strengthen,207,5.370
,claim,2078,6.710
,assert,6176,5.100
,invoke,6167,5.090
,achieve,212,6.000
,shift,4485,7.450
,diminish,6004,5.050
,receive,19574,5.040
,rate,219,6.630
,corrupt,1306,8.120
,steer,9825,7.440
,lie,660,8.170
,come,77168,8.440
,flow,4170,5.810
,go,559,7.240
,reside,3406,5.680
,rest,126,6.870
,lead,10368,5.420
,wash,2449,5.350
,fail,32,5.770
,remain,1449,9.950
