"corpus","preloaded/ententen21_tt31"
"subcorpus","-"
Keyword,Gramrel,Collocate,Freq,Score
safety,"modifiers of X",,1548058,23.880
,,"patient",51992,9.260
,,"road",37966,8.390
,,"food",70709,8.350
,,"public",155461,8.330
,,"fire",26931,7.950
,,"workplace",12992,7.870
,,"occupational",12864,7.780
,,"pedestrian",11492,7.690
,,"worker",12613,7.570
,,"relative",12122,7.200
,,"health",49514,7.150
,,"traffic",11560,6.970
,,"aviation",6368,6.780
,,"personal",32489,6.700
,,"vaccine",6561,6.600
,,"gun",7152,6.500
,,"patient",5344,6.470
,,"highway",4983,6.390
,,"increase",5324,6.330
,,"child",11017,6.280
,,"campus",5287,6.260
,,"passenger",5314,6.200
,,"employee",5899,6.190
,,"psychological",5778,6.170
,,"driver",5006,6.150
,,"vehicle",6465,6.110
,,"enhanced",4873,6.100
,,"radiation",4113,6.040
,,"efficacy",3205,6.030
,,"electrical",5779,5.970
,,"product",10018,5.970
,,"firearm",3229,5.940
,,"quality",11098,5.910
,,"community",12190,5.890
,,"workplace",3048,5.870
,,"medication",3189,5.840
,,"nuclear",7156,5.820
,,"comfort",3370,5.820
,,"added",5352,5.770
,,"own",39233,5.750
,,"maximum",6093,5.740
,,"officer",3327,5.710
,,"functional",4369,5.700
,,"transportation",3792,5.640
,,"maritime",2747,5.580
,,"flight",3745,5.560
,,"efficiency",2727,5.480
,,"consumer",4447,5.450
,,"operator",2430,5.450
,,"physical",9032,5.440
,,"operational",3641,5.440
,,"bicycle",2405,5.440
,,"mine",2398,5.430
,,"life",6791,5.350
,,"environmental",6397,5.310
,,"roadway",1944,5.300
,,"overall",6305,5.280
,,"long-term",4605,5.270
,,"school",10441,5.250
,,"player",3229,5.250
,,"drug",4925,5.210
,,"rail",2602,5.180
,,"reliability",1865,5.150
,,"process",3263,5.150
,,"water",9234,5.130
,,"type",3773,5.130
,,"pipeline",1912,5.130
,,"thread",1941,5.120
,,"safety",4603,5.090
,,"firefighter",1662,5.080
,,"brand",3426,5.040
,,"student",6111,5.010
safety,"nouns modified by X",,2881880,44.450
,,"net",92353,9.770
,,"concern",83352,8.860
,,"precaution",38700,8.660
,,"measure",85101,8.600
,,"standard",83861,8.350
,,"protocol",41494,8.300
,,"hazard",26716,8.000
,,"regulation",38161,7.850
,,"feature",63058,7.590
,,"issue",94160,7.550
,,"equipment",38480,7.550
,,"guideline",23655,7.390
,,"risk",32072,7.310
,,"glass",19680,7.290
,,"tip",22844,7.220
,,"valve",16971,7.220
,,"reason",35753,7.180
,,"inspection",16026,7.150
,,"procedure",24355,7.050
,,"requirement",35936,7.030
,,"pin",13971,7.030
,,"training",25145,6.800
,,"check",16480,6.770
,,"profile",17689,6.740
,,"improvement",15796,6.650
,,"rule",24829,6.630
,,"gear",11426,6.530
,,"belt",10015,6.470
,,"security",14681,6.410
,,"violation",10551,6.410
,,"assessment",13860,6.410
,,"margin",9653,6.350
,,"culture",16843,6.250
,,"consideration",9267,6.160
,,"box",15290,6.110
,,"rating",10447,6.110
,,"record",19815,6.110
,,"harness",6333,6.080
,,"device",19548,6.050
,,"briefing",6216,5.990
,,"goggle",5660,5.970
,,"officer",16454,5.960
,,"legislation",8205,5.960
,,"switch",7353,5.840
,,"health",11643,5.820
,,"zone",9240,5.790
,,"practice",17512,5.780
,,"plan",20444,5.730
,,"committee",8512,5.720
,,"awareness",6049,5.660
,,"factor",12748,5.650
,,"expert",9085,5.650
,,"professional",8923,5.640
,,"aspect",9173,5.620
,,"program",38730,5.610
,,"initiative",8458,5.590
,,"testing",7280,5.560
,,"recommendation",5794,5.560
,,"system",53260,5.540
,,"car",11370,5.540
,,"incident",5810,5.520
,,"vest",4273,5.510
,,"instruction",6214,5.450
,,"law",14676,5.430
,,"inspector",4158,5.420
,,"protection",7333,5.400
,,"barrier",5065,5.400
,,"performance",11865,5.390
,,"compliance",4321,5.380
,,"certificate",5659,5.340
,,"management",11286,5.320
,,"sheet",6290,5.320
,,"policy",14420,5.310
,,"audit",3910,5.310
,,"course",11762,5.300
,,"mechanism",6336,5.290
,,"helmet",3829,5.290
,,"reliability",3815,5.290
,,"agency",9958,5.270
,,"efficacy",3554,5.260
,,"lock",3920,5.230
,,"warning",4163,5.220
,,"advice",5440,5.210
,,"comfort",3834,5.200
,,"information",21031,5.190
,,"planning",5402,5.190
,,"alert",3732,5.180
,,"benefit",8250,5.170
,,"problem",14630,5.150
,,"evaluation",4532,5.140
,,"certification",4074,5.120
,,"seat",5498,5.110
,,"personnel",4548,5.100
,,"message",6726,5.100
,,"safety",4603,5.090
,,"advocate",3980,5.080
,,"education",8205,5.070
,,"quality",8310,5.070
,,"datum",14106,5.050
,,"purpose",6267,5.040
safety,"verbs with X as object",,1048402,16.170
,,"ensure",157537,9.790
,,"improve",114107,8.550
,,"enhance",29584,8.030
,,"guarantee",17981,8.000
,,"compromise",11700,7.990
,,"assure",9178,7.550
,,"endanger",6362,7.380
,,"evaluate",14297,7.310
,,"threaten",9812,7.310
,,"jeopardize",5257,7.230
,,"promote",22878,7.090
,,"assess",10839,6.890
,,"protect",19702,6.780
,,"insure",3972,6.680
,,"risk",4444,6.660
,,"increase",34351,6.440
,,"maintain",16592,6.390
,,"regard",14737,6.390
,,"maximize",3458,6.020
,,"prioritize",2321,6.000
,,"seek",9927,5.970
,,"secure",5776,5.940
,,"boat",2014,5.870
,,"affect",9542,5.750
,,"monitor",4665,5.750
,,"sacrifice",2340,5.740
,,"demonstrate",5452,5.680
,,"impact",3501,5.670
,,"question",2680,5.590
,,"address",7654,5.440
,,"concern",4960,5.370
,,"emphasize",2178,5.270
,,"perceive",2213,5.230
,,"test",4063,5.210
,,"advance",2333,5.150
,,"oversee",1879,5.150
,,"determine",5121,5.110
,,"preserve",2530,5.080
,,"undermine",1640,5.070
,,"prove",2617,5.040
safety,"verbs with X as subject",,286352,4.420
,,"net",1703,7.330
,,"measure",4375,7.260
,,"pin",953,6.450
,,"lock",1078,6.190
,,"surface",810,5.760
,,"recall",1033,5.670
,,"monitor",988,5.500
,,"glass",401,5.480
,,"message",572,5.420
,,"feature",5063,5.300
,,"goggle",351,5.300
,,"alert",440,5.150
,,"scissor",317,5.080
safety,"X and/or ...",,1806608,27.860
,,"health",271575,10.730
,,"efficacy",72068,10.210
,,"security",104904,9.860
,,"comfort",36417,8.920
,,"quality",56607,8.750
,,"effectiveness",27970,8.750
,,"welfare",23715,8.540
,,"well-being",21647,8.370
,,"efficiency",23778,8.160
,,"reliability",18254,8.030
,,"safety",25512,7.850
,,"protection",20161,7.840
,,"wellbeing",11524,7.530
,,"tolerability",8714,7.290
,,"convenience",9005,7.170
,,"privacy",9101,7.050
,,"standard",11798,7.020
,,"performance",16040,7.010
,,"stability",7867,6.760
,,"peace",8934,6.680
,,"environment",10829,6.670
,,"productivity",6555,6.590
,,"hygiene",5772,6.590
,,"compliance",5908,6.500
,,"care",10543,6.490
,,"issue",11782,6.410
,,"concern",6913,6.380
,,"prevention",6057,6.260
,,"mobility",4852,6.250
,,"integrity",5333,6.220
,,"sustainability",5038,6.220
,,"risk",6337,6.110
,,"management",10222,6.040
,,"operation",6723,6.000
,,"freedom",5158,5.970
,,"regulation",5989,5.960
,,"requirement",5817,5.940
,,"durability",3764,5.930
,,"control",7614,5.900
,,"life",10395,5.890
