"﻿""corpus""",preloaded/ententen21_tt31
,patient,51992,9.260
,road,37966,8.390
,food,70709,8.350
,public,155461,8.330
,fire,26931,7.950
,workplace,3866,8.440
,occupational,12864,7.780
,pedestrian,1225,8.960
,worker,9548,7.940
,relative,12122,7.200
,health,271575,10.730
,traffic,11560,6.970
,aviation,6368,6.780
,personal,32489,6.700
,vaccine,982,8.490
,gun,64,11.320
,highway,4983,6.390
,increase,34351,6.440
,child,1022,8.030
,campus,5287,6.260
,passenger,4746,7.940
,employee,11306,8.410
,psychological,5778,6.170
,driver,29,7.890
,vehicle,35,7.640
,enhanced,4873,6.100
,radiation,4113,6.040
,efficacy,72068,10.210
,electrical,5779,5.970
,product,708,7.150
,firearm,3229,5.940
,quality,56607,8.750
,community,11910,7.340
,medication,3189,5.840
,nuclear,7156,5.820
,comfort,36417,8.920
,added,5352,5.770
,own,39233,5.750
,maximum,6093,5.740
,officer,539,6.300
,functional,4369,5.700
,transportation,66,7.230
,maritime,2747,5.580
,flight,114,7.840
,efficiency,23778,8.160
,consumer,1425,5.970
,operator,422,6.710
,physical,9032,5.440
,operational,3641,5.440
,bicycle,2405,5.440
,mine,123,5.980
,life,10395,5.890
,environmental,6397,5.310
,roadway,339,7.970
,overall,6305,5.280
,long-term,4605,5.270
,school,164,8.340
,player,1923,5.520
,drug,956,8.220
,rail,2602,5.180
,reliability,18254,8.030
,process,87,5.190
,water,78,8.520
,type,3773,5.130
,pipeline,1912,5.130
,thread,1941,5.120
,safety,12,9.740
,firefighter,30,6.730
,brand,3426,5.040
,student,11343,7.270
,net,4248,10.760
,concern,13,11.860
,precaution,38700,8.660
,measure,85101,8.600
,standard,83861,8.350
,protocol,41494,8.300
,hazard,26716,8.000
,regulation,38161,7.850
,feature,63058,7.590
,issue,313,7.970
,equipment,20,7.920
,guideline,23655,7.390
,risk,8831,9.310
,glass,19680,7.290
,tip,22844,7.220
,valve,16971,7.220
,reason,2225,7.270
,inspection,16026,7.150
,procedure,24355,7.050
,requirement,27,7.500
,pin,13971,7.030
,training,25145,6.800
,check,16480,6.770
,profile,17689,6.740
,improvement,3929,7.520
,rule,29,6.810
,gear,11426,6.530
,belt,10015,6.470
,security,104904,9.860
,violation,10551,6.410
,assessment,13860,6.410
,margin,8902,9.230
,culture,5152,7.710
,consideration,22,8.880
,box,15290,6.110
,rating,10447,6.110
,record,19815,6.110
,harness,6333,6.080
,device,19548,6.050
,briefing,6216,5.990
