"corpus","preloaded/film_corpus"
"subcorpus","-"
Keyword,Gramrel,Collocate,Freq,Score
comfort,"modifiers of X",,19,5.460
,,"still",2,1.600
comfort,"objects of X",,75,21.550
,,"Vitti",2,9.000
,,"Sarah",2,7.780
,,"child",7,6.690
,,"mother",4,6.310
,,"baby",3,5.770
,,"brother",2,5.750
,,"wife",2,5.390
,,"girl",3,4.690
comfort,"subjects of X",,68,19.540
,,"Catherine",2,8.070
,,"friend",3,5.970
,,"mother",3,5.560
,,"someone",2,4.170
comfort,"X and/or ...",,11,3.160
,,"hold",2,7.790
comfort,"prepositional phrases",,18,0.000
,,"""%w"" by ...",17,4.890
comfort,"pronominal objects of X",,212,60.920
,,"her",103,6.920
,,"him",73,5.370
,,"them",7,3.220
,,"me",12,2.710
,,"you",13,1.570
comfort,"pronominal subjects of X",,25,7.180
,,"they",7,1.330
,,"she",6,0.720
comfort,"X by ...",,17,4.890
,,"friend",3,10.390
