"﻿""corpus""",preloaded/film_corpus
,grave,17,10.620
,immediate,9,9.440
,sense,30,10.130
,imminent,3,8.820
,mortal,4,8.810
,impending,3,8.760
,considerable,3,8.320
,radiation,2,8.020
,potential,2,7.680
,terrible,5,7.230
,serious,4,7.140
,real,16,6.930
,possible,2,6.890
,extreme,2,6.590
,great,18,6.520
,zone,5,8.680
,gas,2,7.510
,court,2,8.190
,pose,2,7.880
,realize,6,7.720
,appreciate,2,6.840
,ignore,2,6.240
,face,5,6.110
,understand,2,5.830
,notice,3,5.200
,spot,2,5.190
,lurk,5,10.180
,pass,4,5.430
,Robinson,2,9.190
,beauty,2,8.100
,death,3,7.890
,everyone,2,7.080
,life,6,8.630
,be,180,8.380
,son,2,8.040
,place,2,7.700
,people,3,6.850
,unaware,10,10.620
,deal,2,8.190
,presence,2,8.160
,air,2,8.010
,hint,2,7.750
,sign,5,7.240
,aware,2,7.020
,lot,4,5.070
,extinction,2,11.040
,kind,2,7.610
,Nathan,2,10.600
,society,2,10.440
,States,2,10.210
,public,2,10.020
,alert,2,11.540
,oblivious,6,9.610
,eye,2,5.340
,safe,2,11.090
