"corpus","preloaded/film_corpus"
"subcorpus","-"
Keyword,Gramrel,Collocate,Freq,Score
death,"modifiers of X",,466,11.340
,,"certain",35,9.880
,,"instant",8,8.570
,,"untimely",5,8.430
,,"accidental",5,8.390
,,"horrible",10,8.380
,,"imminent",5,8.320
,,"near",10,8.270
,,"tragic",5,8.150
,,"wrongful",4,8.090
,,"gruesome",4,7.940
,,"sudden",11,7.830
,,"violent",6,7.820
,,"til",4,7.780
,,"painful",4,7.660
,,"fiery",4,7.540
,,"natural",5,7.490
,,"own",29,7.130
,,"fuck",4,7.120
,,"slow",7,6.880
,,"only",6,5.320
,,"red",4,4.860
,,"good",4,2.960
death,"nouns modified by X",,785,19.100
,,"star",108,11.000
,,"row",61,10.300
,,"penalty",23,9.830
,,"throe",21,9.720
,,"threat",23,9.600
,,"grip",23,9.410
,,"sentence",18,9.240
,,"toll",15,9.180
,,"certificate",14,8.980
,,"wish",13,8.910
,,"squad",12,8.540
,,"warrant",10,8.540
,,"mask",20,8.460
,,"blow",22,8.350
,,"trap",7,7.930
,,"Vader",6,7.720
,,"inmate",5,7.560
,,"monkey",6,7.500
,,"bed",11,7.420
,,"agony",4,7.250
,,"disk",4,7.180
,,"cart",6,7.150
,,"trench",4,7.140
,,"scream",7,6.980
,,"scene",9,6.850
,,"struggle",4,6.790
,,"chamber",6,6.790
,,"list",4,6.710
,,"dog",7,6.680
,,"machine",8,6.630
,,"camp",4,6.410
,,"hallway",4,5.600
,,"stare",6,5.350
,,"day",4,4.080
death,"verbs with X as object",,559,13.600
,,"cheat",14,9.580
,,"fear",14,9.350
,,"avenge",11,9.220
,,"fake",10,8.930
,,"die",18,8.700
,,"report",6,8.050
,,"defeat",5,7.850
,,"announce",5,7.720
,,"face",17,7.670
,,"confirm",4,7.480
,,"cause",9,7.440
,,"accept",5,7.120
,,"choose",4,6.960
,,"mean",9,6.680
,,"think",12,6.390
,,"catch",9,6.000
,,"meet",6,6.000
,,"bring",7,5.890
,,"feel",4,5.230
,,"want",5,4.660
,,"live",4,4.550
,,"know",7,4.510
,,"be",138,4.470
,,"see",23,4.460
,,"say",4,3.870
,,"have",8,2.420
death,"verbs with X as subject",,431,10.490
,,"rattle",16,9.390
,,"become",5,6.180
,,"do",29,5.510
,,"give",5,5.000
,,"have",34,4.990
,,"leave",4,4.930
,,"come",16,4.790
,,"be",172,4.700
,,"take",7,4.280
,,"make",4,4.250
,,"go",4,2.960
death,"X and/or ...",,351,8.540
,,"life",77,11.010
,,"destruction",9,9.530
,,"birth",8,9.360
,,"taxis",5,8.820
,,"death",8,8.540
,,"exile",4,8.490
,,"marriage",4,8.310
,,"pain",6,7.910
,,"man",4,4.410
death,"prepositional phrases",,1811,0.000
,,"... to ""%w""",583,14.190
,,"... of ""%w""",408,9.930
,,"""%w"" of ...",148,3.600
,,"""%w"" in ...",82,2.000
,,"... for ""%w""",55,1.340
,,"... in ""%w""",54,1.310
,,"... with ""%w""",44,1.070
,,"""%w"" to ...",39,0.950
,,"""%w"" on ...",30,0.730
,,"""%w"" with ...",30,0.730
,,"... about ""%w""",30,0.730
,,"... by ""%w""",29,0.710
,,"""%w"" at ...",23,0.560
,,"... from ""%w""",21,0.510
,,"""%w"" by ...",21,0.510
,,"... as ""%w""",20,0.490
,,"... after ""%w""",20,0.490
,,"... like ""%w""",18,0.440
,,"""%w"" for ...",16,0.390
,,"... than ""%w""",16,0.390
,,"... before ""%w""",14,0.340
,,"... near ""%w""",12,0.290
,,"... at ""%w""",11,0.270
,,"""%w"" as ...",10,0.240
,,"""%w"" from ...",10,0.240
,,"... into ""%w""",7,0.170
,,"... toward ""%w""",7,0.170
,,"... on ""%w""",5,0.120
,,"""%w"" before ...",4,0.100
,,"... until ""%w""",4,0.100
death,"adjective predicates of X",,52,1.270
,,"certain",4,10.570
death,"X''s ...",,54,1.310
,,"door",8,8.000
,,"head",15,7.400
,,"office",5,5.330
death,"possessors of X",,215,5.230
,,"husband",9,9.620
,,"wife",9,9.420
,,"father",14,8.900
,,"sister",5,8.820
,,"son",5,8.540
,,"mother",8,8.220
,,"Alex",4,7.970
death,"pronominal possessors of X",,361,8.790
,,"their",35,5.140
,,"your",57,4.950
,,"my",54,4.890
,,"his",147,4.650
,,"her",54,4.440
,,"its",6,4.110
,,"our",7,3.870
death,"... to X",,583,14.190
,,"scare",69,11.750
,,"bleed",56,11.480
,,"starve",30,10.650
,,"freeze",29,10.540
,,"choke",17,9.850
,,"burn",16,9.670
,,"sick",14,9.540
,,"beat",13,9.440
,,"fight",12,9.360
