"﻿""corpus""",preloaded/film_corpus
,certain,4,10.570
,instant,8,8.570
,untimely,5,8.430
,accidental,5,8.390
,horrible,10,8.380
,imminent,5,8.320
,near,10,8.270
,tragic,5,8.150
,wrongful,4,8.090
,gruesome,4,7.940
,sudden,11,7.830
,violent,6,7.820
,til,4,7.780
,painful,4,7.660
,fiery,4,7.540
,natural,5,7.490
,own,29,7.130
,fuck,4,7.120
,slow,7,6.880
,only,6,5.320
,star,108,11.000
,row,61,10.300
,penalty,23,9.830
,throe,21,9.720
,threat,23,9.600
,grip,23,9.410
,sentence,18,9.240
,toll,15,9.180
,certificate,14,8.980
,wish,13,8.910
,squad,12,8.540
,warrant,10,8.540
,mask,20,8.460
,blow,22,8.350
,trap,7,7.930
,Vader,6,7.720
,inmate,5,7.560
,monkey,6,7.500
,bed,11,7.420
,agony,4,7.250
,disk,4,7.180
,cart,6,7.150
,trench,4,7.140
,scream,7,6.980
,scene,9,6.850
,struggle,4,6.790
,chamber,6,6.790
,list,4,6.710
,dog,7,6.680
,machine,8,6.630
,camp,4,6.410
,hallway,4,5.600
,stare,6,5.350
,cheat,14,9.580
,fear,16,10.000
,avenge,11,9.220
,fake,10,8.930
,die,18,8.700
,report,6,8.050
,defeat,5,7.850
,announce,5,7.720
,face,11,7.870
,confirm,4,7.480
,cause,33,10.950
,accept,5,7.120
,choose,4,6.960
,mean,9,6.680
,think,4,7.720
,catch,9,6.000
,meet,6,6.000
,bring,7,5.890
,feel,4,5.230
,rattle,16,9.390
,become,5,6.180
,do,6,7.550
,life,77,11.010
,destruction,9,9.530
,birth,8,9.360
,taxis,5,8.820
,death,8,8.540
,exile,4,8.490
,marriage,4,8.310
,pain,4,8.160
,door,8,8.000
,head,15,7.400
,office,5,5.330
,husband,9,9.620
,wife,7,9.720
,father,5,8.980
,sister,5,8.820
,son,5,8.540
,mother,8,8.220
,Alex,4,7.970
,their,35,5.140
,scare,69,11.750
,bleed,56,11.480
,starve,30,10.650
,freeze,29,10.540
,choke,17,9.850
,burn,16,9.670
,sick,14,9.540
,beat,13,9.440
,fight,12,9.360
,half,12,9.360
,put,10,9.040
,stab,9,8.960
,crush,7,8.600
,man,8,8.550
,worry,6,8.380
,close,12,8.370
,bore,6,8.370
,fall,18,8.340
,freezing,5,8.120
,condemn,5,8.110
,ass,4,7.750
,shot,4,7.700
,angel,14,10.020
,time,16,9.400
,dance,8,9.180
,land,8,8.980
,valley,7,8.960
,event,7,8.880
,shadow,12,8.840
,kiss,6,8.830
,temple,6,8.750
,stench,5,8.580
,afraid,7,8.410
,cherub,4,8.300
,moment,10,8.120
,hand,4,7.450
,look,11,7.060
,woman,4,7.180
,family,7,9.990
,eye,5,6.600
,responsible,11,10.700
,pray,6,10.410
,wait,5,6.320
,Muslim,4,11.540
,law,4,11.350
,talk,5,7.180
,punishable,5,12.110
,bad,9,11.090
,be,6,9.930
