"corpus","preloaded/film_corpus"
"subcorpus","-"
Keyword,Gramrel,Collocate,Freq,Score
power,"modifiers of X",,965,28.850
,,"absolute",64,10.620
,,"auxiliary",18,9.190
,,"impulse",13,8.720
,,"enough",22,8.540
,,"full",47,8.400
,,"raw",11,8.220
,,"psychic",9,8.140
,,"emergency",12,7.780
,,"Austin",7,7.710
,,"such",12,7.540
,,"will",6,7.500
,,"telekinetic",5,7.380
,,"unlimited",5,7.360
,,"super",6,7.310
,,"creative",5,7.300
,,"tremendous",6,7.290
,,"much",15,7.290
,,"infinite",5,7.230
,,"special",11,7.220
,,"awesome",5,7.170
,,"ultimate",5,7.150
,,"internal",5,7.120
,,"fire",12,7.120
,,"limitless",4,7.050
,,"healing",4,7.010
,,"processing",4,6.980
,,"true",7,6.960
,,"nuclear",5,6.940
,,"immense",4,6.850
,,"great",25,6.820
,,"more",27,6.710
,,"sheer",4,6.660
,,"magic",4,6.610
,,"own",20,6.490
,,"real",13,6.380
,,"main",10,6.320
,,"war",4,6.300
,,"high",12,6.250
,,"personal",4,6.040
,,"machine",4,5.990
,,"new",13,5.510
,,"little",5,3.450
power,"nouns modified by X",,865,25.860
,,"plant",47,10.030
,,"line",90,9.420
,,"source",23,9.360
,,"surge",20,9.260
,,"tool",22,9.240
,,"cord",21,9.120
,,"supply",19,9.000
,,"cable",19,8.930
,,"drill",13,8.650
,,"throttle",11,8.550
,,"pole",15,8.490
,,"generator",11,8.490
,,"switch",16,8.490
,,"ranger",11,8.480
,,"cop",18,8.410
,,"outage",9,8.390
,,"cell",15,8.200
,,"button",16,8.070
,,"coupling",7,8.000
,,"failure",6,7.640
,,"broker",5,7.420
,,"lever",5,7.300
,,"winch",4,7.180
,,"tie",6,7.140
,,"drain",4,7.060
,,"company",7,7.010
,,"suit",14,7.000
,,"grid",4,7.000
,,"boat",7,6.940
,,"system",9,6.880
,,"dive",4,6.820
,,"problem",6,6.750
,,"station",15,6.730
,,"trip",4,6.490
,,"box",8,5.920
,,"room",15,4.700
,,"light",6,4.660
,,"window",4,4.410
,,"car",4,4.070
power,"verbs with X as object",,966,28.880
,,"vest",10,8.380
,,"cut",30,8.310
,,"use",51,8.160
,,"lose",44,8.050
,,"underestimate",8,8.000
,,"generate",8,7.910
,,"wield",8,7.850
,,"restore",8,7.840
,,"unleash",7,7.700
,,"reroute",6,7.640
,,"possess",6,7.490
,,"seize",6,7.280
,,"feel",18,7.230
,,"respect",5,7.200
,,"have",218,7.180
,,"harness",4,7.040
,,"diminish",4,7.020
,,"radiate",4,7.000
,,"divert",4,7.000
,,"demonstrate",4,6.940
,,"grant",4,6.880
,,"release",6,6.820
,,"increase",4,6.710
,,"understand",6,6.680
,,"sense",4,6.320
,,"fight",5,6.260
,,"get",57,5.670
,,"become",4,5.480
,,"kill",6,5.400
,,"turn",7,5.240
,,"give",9,5.150
,,"hold",10,4.950
,,"need",6,4.770
,,"want",5,4.570
,,"go",6,4.470
,,"pull",5,4.270
,,"hit",4,4.250
