"corpus","preloaded/film_corpus"
"subcorpus","-"
Keyword,Gramrel,Collocate,Freq,Score
safety,"modifiers of X",,88,8.460
,,"relative",12,11.500
,,"child",4,7.680
,,"own",29,7.220
,,"personal",5,7.200
,,"public",4,7.180
,,"complete",3,7.150
safety,"nouns modified by X",,363,34.900
,,"net",14,9.700
,,"tether",9,9.570
,,"regulation",7,9.160
,,"precaution",6,8.960
,,"belt",15,8.900
,,"pin",9,8.820
,,"harness",6,8.730
,,"razor",6,8.570
,,"catch",6,8.540
,,"goggle",5,8.310
,,"expert",5,8.240
,,"chain",8,8.230
,,"glass",20,8.080
,,"line",30,8.010
,,"deposit",3,7.880
,,"POD",3,7.800
,,"box",26,7.790
,,"valve",3,7.740
,,"vault",4,7.720
,,"barrier",3,7.640
,,"switch",5,7.420
,,"bar",12,7.340
,,"issue",3,7.050
,,"rope",3,6.990
,,"fence",4,6.930
,,"tunnel",4,6.760
,,"cage",3,6.710
,,"record",3,6.500
,,"system",3,5.620
,,"seat",4,5.350
,,"light",4,4.170
safety,"verbs with X as object",,115,11.060
,,"guarantee",8,10.250
,,"jeopardize",4,9.740
,,"threaten",4,8.920
,,"click",5,8.630
,,"flick",4,8.190
,,"seek",3,7.950
,,"flip",3,6.840
,,"release",3,6.800
,,"work",3,5.520
,,"reach",5,5.460
,,"check",3,4.990
,,"find",4,3.690
,,"leave",3,3.540
,,"take",6,2.710
,,"make",3,2.270
,,"be",8,0.360
safety,"verbs with X as subject",,41,3.940
,,"scissor",3,10.470
,,"be",22,1.730
safety,"X and/or ...",,54,5.190
,,"safety",6,10.820
safety,"prepositional phrases",,485,0.000
,,"""%w"" of ...",121,11.630
,,"... to ""%w""",109,10.480
,,"... for ""%w""",101,9.710
,,"... of ""%w""",24,2.310
,,"... in ""%w""",16,1.540
,,"""%w"" as ...",11,1.060
,,"... into ""%w""",10,0.960
,,"... toward ""%w""",10,0.960
,,"... about ""%w""",8,0.770
,,"""%w"" on ...",7,0.670
,,"... from ""%w""",7,0.670
,,"""%w"" in ...",5,0.480
,,"... with ""%w""",5,0.480
,,"... towards ""%w""",5,0.480
,,"""%w"" behind ...",4,0.380
,,"""%w"" off ...",3,0.290
,,"... than ""%w""",3,0.290
safety,"pronominal possessors of X",,96,9.230
,,"your",43,4.550
,,"our",8,4.080
,,"its",3,3.150
,,"their",6,2.610
,,"my",8,2.140
,,"his",21,1.840
,,"her",7,1.490
safety,"X of ...",,121,11.630
,,"cave",3,8.690
,,"child",4,7.550
,,"car",4,5.940
safety,"... to X",,109,10.480
,,"body",5,9.730
,,"scramble",5,9.500
,,"boy",3,9.380
,,"climb",4,9.010
,,"crawl",3,8.870
,,"roll",3,8.520
,,"way",6,7.130
safety,"... for X",,101,9.710
,,"scramble",7,10.240
,,"worry",4,10.050
,,"responsible",6,9.550
,,"concern",3,9.450
,,"pray",4,9.420
,,"care",3,8.820
,,"dive",3,8.490
,,"run",4,7.610
,,"be",4,6.180
,,"head",3,5.780
safety,"... of X",,24,2.310
,,"interest",3,10.540
safety,"verbs with particle ""off"" and X as object",,11,1.060
,,"flip",4,10.980
,,"click",3,10.490
safety,"... from X",,7,0.670
,,"watch",3,8.290
