"﻿""corpus""",preloaded/film_corpus
,relative,12,11.500
,child,4,7.680
,own,29,7.220
,personal,5,7.200
,public,4,7.180
,complete,3,7.150
,net,14,9.700
,tether,9,9.570
,regulation,7,9.160
,precaution,6,8.960
,belt,15,8.900
,pin,9,8.820
,harness,6,8.730
,razor,6,8.570
,catch,6,8.540
,goggle,5,8.310
,expert,5,8.240
,chain,8,8.230
,glass,20,8.080
,line,30,8.010
,deposit,3,7.880
,POD,3,7.800
,box,26,7.790
,valve,3,7.740
,vault,4,7.720
,barrier,3,7.640
,switch,5,7.420
,bar,12,7.340
,issue,3,7.050
,rope,3,6.990
,fence,4,6.930
,tunnel,4,6.760
,cage,3,6.710
,record,3,6.500
,system,3,5.620
,seat,4,5.350
,guarantee,8,10.250
,jeopardize,4,9.740
,threaten,4,8.920
,click,3,10.490
,flick,4,8.190
,seek,3,7.950
,flip,4,10.980
,release,3,6.800
,work,3,5.520
,reach,5,5.460
,scissor,3,10.470
,safety,6,10.820
,cave,3,8.690
,car,4,5.940
,body,5,9.730
,scramble,7,10.240
,boy,3,9.380
,climb,4,9.010
,crawl,3,8.870
,roll,3,8.520
,way,6,7.130
,worry,4,10.050
,responsible,6,9.550
,concern,3,9.450
,pray,4,9.420
,care,3,8.820
,dive,3,8.490
,run,4,7.610
,be,4,6.180
,head,3,5.780
,interest,3,10.540
,watch,3,8.290
