"corpus","preloaded/ske_parlamint21_es"
"subcorpus","-"
Keyword,Gramrel,Collocate,Freq,Score
comodidad,"modifiers of X",,10,23.810
,,"total",2,6.110
,,"relativo",1,4.970
,,"máximo",1,4.440
,,"democrático",2,4.080
,,"mayor",3,3.830
,,"propio",1,2.470
comodidad,"verbs with X as object",,12,28.570
,,"comentar",1,6.980
,,"abandonar",1,5.560
,,"asegurar",1,5.220
,,"facilitar",1,4.620
,,"incrementar",1,4.440
,,"encontrar",1,4.200
,,"buscar",1,4.000
,,"existir",1,3.480
,,"haber",1,0.640
,,"ser",3,0.150
comodidad,"X and/or ...",,2,4.760
,,"flexibilidad",1,9.410
,,"seguridad",1,5.210
comodidad,"prepositional phrases",,24,0.000
,,"""%w"" de ...",6,14.290
,,"... con ""%w""",6,14.290
,,"""%w"" en ...",3,7.140
,,"... de ""%w""",2,4.760
,,"... a ""%w""",2,4.760
,,"... por ""%w""",2,4.760
,,"""%w"" para ...",2,4.760
,,"... en ""%w""",1,2.380
comodidad,"X is a ...",,1,2.380
,,"contrario",1,10.910
comodidad,"X de ...",,6,14.290
,,"desplazamiento",1,9.870
,,"usuario",2,8.870
,,"tiempo",1,6.120
,,"acción",1,5.430
,,"gente",1,5.300
comodidad,"X de ...",,6,14.290
,,"desplazamiento",1,9.750
,,"usuario",2,8.700
,,"acción",1,5.340
,,"tiempo",1,5.250
,,"gente",1,5.120
comodidad,"... con X",,6,14.290
,,"ajustar",1,11.540
,,"legalidad",1,11.410
,,"mover",1,11.000
,,"quedar",1,7.380
,,"actuar",1,6.380
,,"trabajar",1,6.220
comodidad,"X en ...",,3,7.140
,,"privilegio",1,11.090
,,"conflicto",1,8.000
,,"oposición",1,6.610
comodidad,"... de X",,2,4.760
,,"solo",1,6.620
,,"vista",1,5.890
comodidad,"... a X",,2,4.760
,,"tendencia",1,9.710
,,"renunciar",1,6.520
comodidad,"... por X",,2,4.760
,,"final",1,13.000
,,"optar",1,7.040
comodidad,"X para ...",,2,4.760
,,"agente",1,11.670
,,"usuario",1,10.350
comodidad,"... de X",,1,2.380
,,"vista",1,6.230
comodidad,"... en X",,1,2.380
,,"aposentar",1,13.990
comodidad,"usage patterns",,0,0.000
,,"""ser %w""",2,4.760
,,"""%w"" + ""ser""",1,2.380
