"﻿""corpus""",preloaded/ske_parlamint21_es
,latent,3,9.480
,imminent,4,9.470
,patent,3,9.440
,manifest,3,8.820
,serious,9,8.330
,serious,22,8.220
,true,5,8.000
,severe,2,7.730
,authentic,6,7.470
,true,7,7.310
,evident,2,7.030
,elderly,13,5.920
,global,2,5.890
,clear,2,5.010
,run,25,11.030
,conjure,2,8.550
,aggravate,2,7.560
,make-up,3,6.650
,mean,2,6.460
,exist,7,6.220
,suppose,6,5.810
,know,2,5.610
,increase,2,5.300
,risk,2,8.190
,put,227,10.470
,be,67,8.080
,habitat,2,7.610
,life,4,9.420
,manifest,2,6.930
,see,4,6.900
,find,4,6.690
,person,3,6.460
,convert,5,6.410
,country,6,7.340
,security,9,10.570
,democracy,9,10.500
,economy,13,10.190
,integrity,3,10.120
,health,5,9.740
,humanity,2,9.530
,employee,2,9.190
,coexistence,2,9.090
,system,2,8.330
,society,2,7.990
,spanish,2,7.930
,camp,2,10.160
,disappearance,2,9.660
,flood,2,9.560
,extinction,2,9.340
,virus,4,8.820
,death,5,9.040
,exclusion,3,8.400
,speech,2,8.590
,violence,4,6.560
,alert,6,10.970
,warn,7,10.820
,warn,2,10.090
,aware,2,7.120
,crime,2,6.230
,lot,2,11.090
,sea,2,9.260
,plane,2,12.190
,defending,2,12.290
,protect,2,11.750
