"﻿""corpus""",preloaded/ske_parlamint21_es
,religious,74,11.040
,individual,76,10.800
,conditional,40,10.430
,sexual,64,10.120
,ideological,58,10.020
,fundamental,111,9.830
,union,29,9.560
,full,27,8.570
,total,12,7.740
,staff,12,7.450
,democratic,25,7.420
,public,107,7.410
,civil,26,7.370
,negative,6,6.980
,educational,15,6.900
,only,15,6.820
,absolute,10,6.710
,authentic,5,6.440
,true,5,6.200
,essential,5,5.880
,constitutional,11,5.840
,same,10,5.130
,defend,140,9.850
,restrict,24,9.250
,attack,25,9.100
,limit,37,9.090
,protect,32,8.860
,guarantee,77,8.720
,curtail,16,8.620
,respect,29,8.530
,exercise,7,10.340
,infringe,17,8.380
,threaten,14,8.350
,restrict,14,8.330
,trim,11,7.700
,look-out,8,7.650
,ask,27,7.490
,protect,7,7.370
,chase,8,7.270
,recover,14,7.240
,claim,7,7.220
,preserve,7,7.200
,deny,8,7.090
,recognize,13,7.040
,conquer,5,6.980
,steal,5,6.810
,ensure,7,6.770
,leave,9,6.770
,mean,6,6.760
,have,67,6.630
,consider,6,6.530
,enlarge,6,6.520
,want,8,6.470
,demand,7,6.440
,exist,6,8.100
,call,10,6.410
,lose,9,6.330
,bring,6,5.930
,include,5,5.680
,take,6,5.520
,be,16,6.030
,have,15,5.420
,be,5,6.420
,give,20,5.030
,can,10,5.960
,right,810,12.900
,democracy,64,10.190
,security,80,10.130
,equality,63,9.990
,life,5,10.340
,justice,18,8.290
,freedom,26,8.190
,indemnity,12,8.060
,dignity,11,7.740
,expression,503,13.090
,peace,10,7.690
,prosperity,9,7.580
,coexistence,9,7.500
,autonomy,9,7.480
,plurality,8,7.430
,welfare,9,7.410
,pluralism,7,7.260
,progress,6,6.960
,independence,6,6.880
,warranty,21,8.670
,integrity,5,6.750
,unit,5,6.630
,struggle,17,11.290
,quality,5,6.490
,commitment,6,8.100
,education,8,6.630
,our,156,7.070
,his,153,5.940
,my,14,5.440
,teaching,51,10.080
,choice,51,9.770
,circulation,26,9.230
,motion,26,9.210
,citizen,66,9.120
,information,37,9.120
,prisoner,26,9.090
,chair,22,9.050
,meeting,21,8.840
,spanish,47,8.810
,press,20,8.610
,thought,16,8.580
,women,30,8.520
,company,35,8.450
,citizenship,24,8.330
,father,14,8.180
,individual,11,7.990
,person,42,8.060
,vote,13,7.860
,establishment,8,7.570
,opinion,9,7.610
,town,11,7.740
,option,7,7.370
,awareness,7,7.310
,printing,6,7.200
,amortization,6,7.160
,foreign,6,7.120
,set,8,7.020
,family,9,6.890
,decision,7,6.820
,market,7,6.850
,people,7,6.730
,catalan,5,6.620
,hiring,5,6.570
,deprive,48,10.160
,deprivation,39,10.370
,space,37,9.870
,defending,79,9.810
,grief,31,9.760
,exercise,41,9.320
,cutout,15,8.760
,restriction,7,9.450
,protection,23,8.160
,worth,12,8.130
,lack,25,7.890
,regime,13,7.980
,limit,9,7.920
,concept,10,7.830
,enemy,7,7.890
,favor,19,7.810
,talk,64,7.560
,conquest,6,7.690
,name,9,7.650
,against,12,7.610
,i-long,5,7.450
,guarantor,5,7.380
,kingdom,6,7.250
,train,5,7.260
,principle,13,7.200
,manifestation,5,7.270
,ambit,11,7.240
,advocate,6,7.550
,law,29,7.100
,condition,9,6.890
,system,19,6.750
,game,6,6.880
,price,6,6.940
,frame,5,6.460
,subject,10,6.230
,shape,5,6.300
,part,7,5.420
,stroke,37,11.200
,fear,16,10.140
,i-respect,14,8.460
,give-up,6,8.300
,access,6,7.680
,affect,9,7.030
,regard,5,5.810
,choose,8,9.950
,believe,28,9.900
,put,12,9.260
,educate,5,9.230
,live,12,8.340
,base,5,6.830
,put,15,6.590
,finish,15,8.220
,see,9,7.230
,struggle,18,10.930
,fighter,6,10.820
,covenant,8,9.500
,country,20,6.970
,case,5,6.220
,crime,19,11.830
,attack,23,11.360
,attempt,6,10.680
,balance,11,11.080
,decide,5,9.770
,stuff,5,10.180
