"﻿""corpus""",preloaded/ske_parlamint21_es
,religioso,74,11.040
,individual,76,10.800
,condicional,40,10.430
,sexual,64,10.120
,ideológico,58,10.020
,fundamental,111,9.830
,sindical,29,9.560
,pleno,27,8.570
,total,12,7.740
,personal,12,7.450
,democrático,25,7.420
,público,107,7.410
,civil,26,7.370
,negativo,6,6.980
,educativo,15,6.900
,solo,15,6.820
,absoluto,10,6.710
,auténtico,5,6.440
,verdadero,5,6.200
,básico,5,5.880
,constitucional,11,5.840
,mismo,10,5.130
,defender,140,9.850
,coartar,24,9.250
,atacar,25,9.100
,limitar,37,9.090
,proteger,32,8.860
,garantizar,77,8.720
,cercenar,16,8.620
,respetar,29,8.530
,ejercer,7,10.340
,vulnerar,17,8.380
,amenazar,14,8.350
,restringir,14,8.330
,recortar,11,7.700
,vigilar,8,7.650
,pedir,27,7.490
,amparar,7,7.370
,perseguir,8,7.270
,recuperar,14,7.240
,reivindicar,7,7.220
,preservar,7,7.200
,negar,8,7.090
,reconocer,13,7.040
,conquistar,5,6.980
,robar,5,6.810
,asegurar,7,6.770
,dejar,9,6.770
,significar,6,6.760
,haber,67,6.630
,considerar,6,6.530
,ampliar,6,6.520
,querer,8,6.470
,exigir,7,6.440
,existir,6,8.100
,llamar,10,6.410
,perder,9,6.330
,traer,6,5.930
,incluir,5,5.680
,tomar,6,5.520
,estar,16,6.030
,tener,15,5.420
,ser,5,6.420
,dar,20,5.030
,poder,10,5.960
,derecho,810,12.900
,democracia,64,10.190
,seguridad,80,10.130
,igualdad,63,9.990
,vida,5,10.340
,justicia,18,8.290
,libertad,26,8.190
,indemnidad,12,8.060
,dignidad,11,7.740
,expresión,503,13.090
,paz,10,7.690
,prosperidad,9,7.580
,convivencia,9,7.500
,autonomía,9,7.480
,pluralidad,8,7.430
,bienestar,9,7.410
,pluralismo,7,7.260
,progreso,6,6.960
,independencia,6,6.880
,garantía,21,8.670
,integridad,5,6.750
,unidad,5,6.630
,lucha,17,11.290
,calidad,5,6.490
,compromiso,6,8.100
,educación,8,6.630
,nuestro,156,7.070
,su,153,5.940
,mi,14,5.440
,enseñanza,51,10.080
,elección,51,9.770
,circulación,26,9.230
,movimiento,26,9.210
,ciudadano,66,9.120
,información,37,9.120
,preso,26,9.090
,cátedra,22,9.050
,reunión,21,8.840
,español,47,8.810
,prensa,20,8.610
,pensamiento,16,8.580
,mujer,30,8.520
,empresa,35,8.450
,ciudadanía,24,8.330
,padre,14,8.180
,individuo,11,7.990
,persona,42,8.060
,voto,13,7.860
,establecimiento,8,7.570
,opinión,9,7.610
,pueblo,11,7.740
,opción,7,7.370
,conciencia,7,7.310
,imprenta,6,7.200
,amortización,6,7.160
,extranjero,6,7.120
,conjunto,8,7.020
,familia,9,6.890
,decisión,7,6.820
,mercado,7,6.850
,gente,7,6.730
,catalán,5,6.620
,contratación,5,6.570
,privar,48,10.160
,privación,39,10.370
,espacio,37,9.870
,defensa,79,9.810
,pena,31,9.760
,ejercicio,41,9.320
,recorte,15,8.760
,restricción,7,9.450
,protección,23,8.160
,valor,12,8.130
,falta,25,7.890
,régimen,13,7.980
,límite,9,7.920
,concepto,10,7.830
,enemigo,7,7.890
,favor,19,7.810
,hablar,64,7.560
,conquista,6,7.690
,nombre,9,7.650
,contra,12,7.610
,anhelo,5,7.450
,garante,5,7.380
,reino,6,7.250
,tren,5,7.260
,principio,13,7.200
,manifestación,5,7.270
,ámbito,11,7.240
,defensor,6,7.550
,ley,29,7.100
,condición,9,6.890
,sistema,19,6.750
,partido,6,6.880
,precio,6,6.940
,marco,5,6.460
,materia,10,6.230
,forma,5,6.300
,parte,7,5.420
,ataque,37,11.200
,miedo,16,10.140
,respeto,14,8.460
,renunciar,6,8.300
,acceder,6,7.680
,afectar,9,7.030
,respecto,5,5.810
,elegir,8,9.950
,creer,28,9.900
,puesta,12,9.260
,educar,5,9.230
,vivir,12,8.340
,basar,5,6.830
,poner,15,6.590
,acabar,15,8.220
,ver,9,7.230
,luchar,18,10.930
,luchador,6,10.820
,pacto,8,9.500
,país,20,6.970
,caso,5,6.220
,delito,19,11.830
,atentar,23,11.360
,atentado,6,10.680
,equilibrio,11,11.080
,decidir,5,9.770
,cosa,5,10.180
