"﻿""corpus""",preloaded/ske_parlamint21_es
,digno,148,11.660
,prematuro,14,10.380
,evitable,6,9.260
,inminente,4,8.490
,violento,5,8.350
,dulce,3,8.220
,natural,7,7.790
,seguro,5,7.710
,civil,15,6.750
,anual,3,6.730
,bueno,25,6.630
,propio,11,5.860
,causar,17,9.390
,procurar,6,9.000
,provocar,20,8.760
,lamentar,5,8.700
,asistir,5,8.510
,asociar,4,7.900
,desear,4,7.820
,anunciar,7,7.720
,evitar,3,9.950
,anticipar,4,7.710
,elegir,5,7.490
,investigar,3,7.410
,afrontar,5,6.960
,vivir,5,6.870
,producir,9,6.850
,permitir,7,6.740
,suponer,8,6.170
,querer,4,6.020
,facilitar,3,5.920
,traer,3,5.420
,conocer,3,5.370
,utilizar,3,5.260
,pedir,4,5.040
,apoyar,3,5.010
,supervivencia,11,11.310
,susto,5,10.470
,vida,21,10.360
,contagio,5,10.270
,ruina,5,10.150
,desolación,3,9.750
,lesión,3,9.630
,destrucción,3,9.410
,muerte,4,9.230
,enfermedad,3,8.950
,sufrimiento,3,8.680
,aplicable,3,11.030
,castigo,4,12.910
,pena,35,11.110
,herir,13,10.350
,amenaza,10,9.740
,causa,14,9.330
,sentencia,9,9.380
,amenazar,5,8.980
,peligro,5,9.040
,dueño,5,8.980
,resultado,12,8.730
,lecho,3,8.540
,responsable,8,8.490
,crónica,3,8.440
,prestación,7,8.210
,huir,4,7.890
,exceso,3,7.940
,riesgo,5,7.300
,proceso,8,7.140
,número,8,7.030
,ley,20,6.710
,calidad,4,6.850
,momento,3,6.400
,año,8,8.260
,mil,7,8.130
,condenar,15,10.220
,condena,5,9.850
,condenado,3,9.760
,abocar,5,9.230
,derecho,42,8.990
,conducir,4,8.650
,enfrentar,5,8.220
,llevar,4,5.340
,dictador,7,10.500
,animal,5,9.500
,paciente,3,8.860
,niño,3,7.190
,persona,13,6.770
,mujer,3,6.110
,accidente,4,10.400
,carretera,5,9.880
,frontera,5,9.640
,mar,3,9.450
,inanición,5,12.110
,coronavirus,4,10.320
,violencia,3,9.700
,condolencia,3,11.450
,lucha,3,9.370
,condición,3,9.500
