"corpus","preloaded/ske_parlamint21_es"
"subcorpus","-"
Keyword,Gramrel,Collocate,Freq,Score
poder,"modifiers of X",,3936,71.240
,,"judicial",1982,12.830
,,"adquisitivo",578,12.020
,,"ejecutivo",125,9.940
,,"legislativo",170,9.740
,,"público",464,9.330
,,"político",105,7.500
,,"fáctico",19,7.290
,,"económico",66,7.110
,,"financiero",26,6.840
,,"territorial",14,6.290
,,"independiente",10,6.160
,,"constituyente",8,6.000
,,"mayor",19,5.840
,,"extraordinario",9,5.790
,,"absoluto",10,5.730
,,"adjudicador",6,5.640
,,"salvaje",6,5.610
,,"máximo",8,5.590
,,"grande",19,5.550
,,"distinto",8,5.420
,,"excepcional",6,5.400
,,"autonómico",8,5.380
,,"discrecional",5,5.350
,,"arbitrario",5,5.330
,,"diferente",7,5.280
,,"alto",8,5.240
,,"municipal",5,5.180
,,"solo",8,5.150
,,"especial",6,5.010
,,"amplio",5,4.990
,,"menor",5,4.950
,,"democrático",6,4.650
,,"propio",6,4.320
,,"constitucional",5,4.140
,,"mismo",5,3.730
,,"europeo",5,3.180
,,"social",5,2.960
poder,"verbs with X as object",,835,15.110
,,"perder",119,10.210
,,"mantener",54,8.930
,,"recuperar",36,8.810
,,"ganar",22,8.640
,,"ejercer",20,8.440
,,"otorgar",12,8.280
,,"conservar",8,8.160
,,"emanar",7,8.020
,,"garantizar",44,8.010
,,"limitar",13,7.880
,,"ocupar",9,7.630
,,"acumular",7,7.560
,,"alcanzar",13,7.510
,,"importar",6,7.330
,,"controlar",6,7.170
,,"utilizar",12,6.980
,,"constituir",6,6.900
,,"incrementar",7,6.620
,,"aumentar",7,6.530
,,"querer",7,6.490
,,"mejorar",8,5.860
,,"tener",83,5.810
,,"compartir",5,5.810
,,"dar",29,5.590
,,"determinar",5,5.500
,,"establecer",5,5.280
,,"ser",51,4.220
,,"haber",7,3.400
,,"hacer",7,3.120
poder,"verbs with X as subject",,154,2.790
,,"promover",10,10.420
,,"garantizar",7,8.940
,,"deber",14,7.340
,,"tener",28,6.320
,,"poder",7,5.430
poder,"X and/or ...",,168,3.040
,,"poder",8,9.610
,,"independencia",7,9.240
,,"institución",7,8.760
,,"transparencia",7,8.700
,,"competencia",6,8.510
poder,"prepositional phrases",,3409,0.000
,,"... de ""%w""",2391,43.280
,,"""%w"" de ...",297,5.380
,,"... a ""%w""",161,2.910
,,"... en ""%w""",151,2.730
,,"""%w"" en ...",68,1.230
,,"""%w"" a ...",55,1.000
,,"... con ""%w""",52,0.940
,,"... por ""%w""",44,0.800
,,"... entre ""%w""",38,0.690
,,"""%w"" con ...",23,0.420
,,"""%w"" para ...",22,0.400
,,"... para ""%w""",18,0.330
,,"""%w"" por ...",17,0.310
,,"... desde ""%w""",17,0.310
,,"... contra ""%w""",6,0.110
,,"... sobre ""%w""",6,0.110
,,"""%w"" desde ...",6,0.110
,,"""%w"" sobre ...",5,0.090
,,"""%w"" entre ...",5,0.090
,,"""%w"" durante ...",5,0.090
poder,"pronominal possessors of X",,121,2.190
,,"su",109,5.460
,,"mi",6,4.250
,,"nuestro",6,2.380
poder,"... de X",,2391,43.280
