"﻿""corpus""",preloaded/ske_parlamint21_es
,judicial,1982,12.830
,adquisitivo,578,12.020
,ejecutivo,125,9.940
,legislativo,170,9.740
,público,464,9.330
,político,105,7.500
,fáctico,19,7.290
,económico,66,7.110
,financiero,26,6.840
,territorial,14,6.290
,independiente,10,6.160
,constituyente,8,6.000
,mayor,19,5.840
,extraordinario,9,5.790
,absoluto,10,5.730
,adjudicador,6,5.640
,salvaje,6,5.610
,máximo,8,5.590
,grande,19,5.550
,distinto,8,5.420
,excepcional,6,5.400
,autonómico,8,5.380
,discrecional,5,5.350
,arbitrario,5,5.330
,diferente,7,5.280
,alto,8,5.240
,municipal,5,5.180
,solo,8,5.150
,especial,6,5.010
,perder,119,10.210
,mantener,32,11.050
,recuperar,36,8.810
,ganar,22,8.640
,ejercer,20,8.440
,otorgar,12,8.280
,conservar,8,8.160
,emanar,7,8.020
,garantizar,7,8.940
,limitar,13,7.880
,ocupar,9,7.630
,acumular,7,7.560
,alcanzar,13,7.510
,importar,6,7.330
,controlar,6,7.170
,utilizar,12,6.980
,constituir,6,6.900
,incrementar,7,6.620
,aumentar,7,6.530
,querer,7,6.490
,mejorar,8,5.860
,tener,10,7.070
,compartir,5,5.810
,dar,29,5.590
,determinar,5,5.500
,establecer,5,5.280
,promover,10,10.420
,deber,6,7.490
,poder,8,9.610
,independencia,7,9.240
,institución,7,8.760
,transparencia,7,8.700
,competencia,6,8.510
,su,109,5.460
,consejo,907,12.240
,separación,304,12.870
,división,114,11.710
,pérdida,88,10.720
,ley,243,9.720
,abuso,34,9.860
,ganancia,26,9.690
,mantenimiento,28,8.290
,equilibrio,10,10.840
,obligación,19,8.870
,recuperación,20,7.700
,relación,8,10.350
,actuación,13,8.260
,parte,24,7.180
,arbitrariedad,9,8.220
,ejercicio,14,6.930
,ansia,9,8.190
,abusar,9,6.880
,ambición,8,8.030
,estructura,8,7.860
,distribución,7,6.410
,traspaso,6,7.560
,reparto,5,6.980
,garantía,7,6.130
,acción,6,7.190
,maquinaria,5,7.370
,vacío,5,7.360
,cuota,5,7.120
,limitación,5,5.940
,servicio,8,5.880
,control,6,5.870
,posición,5,5.830
,resto,9,6.400
,compromiso,5,6.800
,euro,5,6.750
,término,5,6.400
,aumento,5,5.570
,capacidad,5,6.310
,interés,5,5.510
,pensionista,7,11.640
,pensión,58,9.690
,compra,9,9.490
,negociación,12,8.760
,banca,5,8.710
,funcionario,7,8.330
,decisión,9,8.270
,mercado,5,7.480
,trabajador,8,7.000
,obligar,10,9.240
,corresponder,6,8.240
,llegar,14,7.010
,ir,5,6.190
,perpetuar,15,11.460
,obrar,7,10.430
,permanecer,6,9.580
,seguir,9,9.070
,realizar,6,8.800
,estar,18,6.220
,país,6,5.240
,costa,5,8.550
,hacer,5,6.690
,atender,5,10.720
,conflicto,6,10.870
