"﻿""corpus""",preloaded/ske_parlamint21_es
,judicial,1982,12.830
,purchasing,578,12.020
,executive,125,9.940
,legislative,170,9.740
,public,464,9.330
,political,105,7.500
,factual,19,7.290
,economic,66,7.110
,financial,26,6.840
,territorial,14,6.290
,independent,10,6.160
,constituent,8,6.000
,elderly,19,5.840
,extraordinary,9,5.790
,absolute,10,5.730
,award,6,5.640
,wild,6,5.610
,maximum,8,5.590
,big,19,5.550
,distinct,8,5.420
,exceptional,6,5.400
,autonomic,8,5.380
,discretionary,5,5.350
,arbitrary,5,5.330
,different,7,5.280
,high,8,5.240
,municipal,5,5.180
,only,8,5.150
,special,6,5.010
,lose,119,10.210
,keep,32,11.050
,recover,36,8.810
,gain,22,8.640
,exercise,20,8.440
,grant,12,8.280
,keep,8,8.160
,emanate,7,8.020
,guarantee,7,8.940
,limit,13,7.880
,occupy,9,7.630
,accumulate,7,7.560
,reach,13,7.510
,matter,6,7.330
,check,6,7.170
,use,12,6.980
,make-up,6,6.900
,increase,7,6.620
,increase,7,6.530
,want,7,6.490
,improve,8,5.860
,have,10,7.070
,share,5,5.810
,give,29,5.590
,determine,5,5.500
,establish,5,5.280
,promote,10,10.420
,duty,6,7.490
,can,8,9.610
,independence,7,9.240
,institution,7,8.760
,transparency,7,8.700
,competence,6,8.510
,his,109,5.460
,advice,907,12.240
,separation,304,12.870
,division,114,11.710
,loss,88,10.720
,law,243,9.720
,abuse,34,9.860
,revenue,26,9.690
,maintenance,28,8.290
,balance,10,10.840
,obligation,19,8.870
,recovery,20,7.700
,relationship,8,10.350
,performance,13,8.260
,part,24,7.180
,arbitrariness,9,8.220
,exercise,14,6.930
,craving,9,8.190
,abuse,9,6.880
,ambition,8,8.030
,structure,8,7.860
,distribution,7,6.410
,transfer,6,7.560
,distribution,5,6.980
,warranty,7,6.130
,action,6,7.190
,machinery,5,7.370
,empty,5,7.360
,share,5,7.120
,limitation,5,5.940
,service,8,5.880
,control,6,5.870
,position,5,5.830
,rest,9,6.400
,commitment,5,6.800
,euro,5,6.750
,term,5,6.400
,increase,5,5.570
,ability,5,6.310
,interest,5,5.510
,pensioner,7,11.640
,pension,58,9.690
,buys,9,9.490
,negotiation,12,8.760
,banking,5,8.710
,official,7,8.330
,decision,9,8.270
,market,5,7.480
,worker,8,7.000
,obligate,10,9.240
,correspond,6,8.240
,arrive,14,7.010
,go,5,6.190
,perpetuate,15,11.460
,act,7,10.430
,stay,6,9.580
,continue,9,9.070
,carry-out,6,8.800
,be,18,6.220
,country,6,5.240
,coast,5,8.550
,do,5,6.690
,attend,5,10.720
,conflict,6,10.870
