"﻿""corpus""",preloaded/ske_parlamint21_es
,social,2996,12.100
,legal,636,11.150
,citizen,347,10.900
,vial,144,9.780
,national,254,9.500
,nuclear,58,8.430
,food,53,8.300
,elderly,88,7.890
,railway,36,7.620
,aerial,27,7.340
,sanitary,42,7.210
,public,96,6.980
,inside,17,6.550
,total,15,6.330
,necessary,17,6.160
,maritime,11,6.050
,maximum,12,5.880
,international,16,5.780
,complete,9,5.700
,staff,10,5.640
,absolute,11,5.600
,world,9,5.550
,labor,14,5.460
,operational,7,5.460
,abroad,8,5.350
,industrial,8,5.310
,common,9,5.290
,comprehensive,7,5.220
,energetic,8,5.120
,full,7,5.120
,own,11,5.020
,guarantee,222,10.270
,contribute,31,9.010
,deprive,47,9.000
,improve,64,8.760
,provide,19,8.740
,grant,20,8.710
,preserve,13,8.190
,beef-up,23,8.140
,offer,18,7.970
,give,148,7.920
,protect,11,7.380
,increase,13,7.340
,threaten,5,6.980
,trigger,16,6.950
,increase,10,6.880
,need,5,7.510
,defend,15,6.660
,keep,11,6.520
,look-for,7,6.170
,want,6,6.110
,have,88,5.880
,duty,5,5.900
,defending,87,11.220
,health,45,10.260
,peace,36,10.180
,freedom,80,10.130
,migrations,30,10.070
,certainty,25,9.740
,quality,30,9.610
,protection,35,9.600
,certainty,22,9.580
,justice,25,9.280
,stability,20,9.040
,warranty,19,8.980
,reliability,13,8.870
,tranquillity,13,8.800
,trust,15,8.790
,security,20,8.530
,order,10,8.390
,struggle,9,8.050
,prevention,9,8.020
,welfare,9,7.980
,transparency,7,7.500
,life,7,7.460
,dignity,6,7.460
,employment,9,7.280
,control,6,7.270
,effectiveness,5,7.230
,principle,58,8.490
,right,9,6.750
,concept,7,11.720
,our,72,5.960
,his,84,5.080
,bodies,789,12.610
,body,204,10.730
,force,137,10.240
,advice,212,10.160
,law,257,9.810
,board,75,9.370
,subject,124,9.230
,extent,72,8.810
,grid,7,8.790
,policy,82,8.620
,booking,38,8.480
,treasury,31,8.230
,strategy,35,8.200
,condition,42,8.130
,agency,32,8.130
,be,62,8.040
,endow,31,7.920
,distance,23,7.810
,level,30,7.700
,institute,24,7.690
,system,50,7.640
,state,838,11.760
,ambit,24,7.350
,reason,18,7.250
,regime,19,7.240
,problem,26,7.230
,question,19,7.070
,department,13,6.970
,commission,10,11.940
,mattress,11,6.750
,view,12,6.710
,requirement,11,6.680
,talk,39,6.550
,lack,17,6.570
,company,6,7.510
,protocol,10,6.540
,reason,11,6.550
,culture,10,6.550
,improvement,12,6.460
,forces,8,6.300
,plan,14,6.260
,ara,8,6.270
,report,9,6.280
,frame,10,6.260
,issue,10,6.250
,vigilant,7,6.100
,service,11,6.110
,device,7,6.080
,element,8,6.080
,booster,7,6.040
,administration,9,6.140
,degree,7,5.900
,model,9,5.780
,authority,5,10.100
,term,7,5.740
,crisis,6,5.680
,criterion,6,5.620
,place-an-order,5,5.510
,ordination,5,5.580
,agent,5,5.560
,challenge,5,5.540
,address,5,5.480
,maintenance,5,5.480
,base,5,5.270
,favor,6,5.240
,nations,64,11.190
,supply,20,9.900
,patient,21,8.700
,user,9,8.830
,reservoir,8,7.470
,person,6,8.580
,operation,8,8.520
,spanish,16,7.650
,border,7,8.330
,women,11,7.600
,worker,6,9.340
,prey,5,8.230
,construction-site,6,7.700
,traveler,5,7.980
,country,20,6.810
,catalonia,6,7.140
,citizenship,6,7.720
,government,5,5.930
,road,10,9.840
,recreation,5,9.450
,job,9,9.370
,compliance,5,8.900
,market,9,8.430
,sector,5,7.290
,hour,5,7.110
,through,6,6.340
,threat,11,10.860
,affect,39,9.230
,link,5,7.970
,dedicate,5,7.800
,contribute,5,7.720
,relative,5,7.280
,play,8,9.830
,relate,6,7.910
,count,7,6.840
,do,5,6.630
,see,5,6.400
,relationship,5,5.960
,interest,15,11.500
,danger,9,10.570
,risk,8,10.100
,invest,6,8.460
,investment,5,7.570
,ensure,21,10.940
,set,5,8.740
,attack,7,9.970
