"corpus","preloaded/yorubawac15"
"subcorpus","-"
Keyword,Gramrel,Collocate,Freq,Score
agbara,"words before X",,3753,343.370
,,"iṣẹ",41,7.390
,,"nipa",46,6.850
,,"ọwọ́",25,6.760
,,"li",141,6.600
,,"ìwa",14,6.580
,,"lí",10,6.400
,,"pẹlu",36,6.110
,,"odi",10,5.990
,,"ogo",10,5.930
,,"ọwọ",12,5.920
,,"nfi",9,5.820
,,"ijọba",9,5.780
,,"gẹgẹ",16,5.760
,,"gbọdọ",9,5.690
,,"iṣe",14,5.680
,,"ọrun",10,5.640
,,"fi",128,5.620
,,"nitori",28,5.560
,,"ati",137,5.510
,,"iyanu",6,5.460
,,"titobi",5,5.380
,,"lọwọ",9,5.290
,,"pipe",5,5.260
,,"ọtún",5,5.240
,,"Nipa",5,5.210
,,"aye",8,5.200
,,"ma",21,5.190
,,"awa",11,5.180
,,"agbara",8,5.170
,,"bikoṣe",5,5.100
,,"ani",7,5.080
,,"aiye",7,5.060
,,"nitoripe",6,5.010
,,"sọ̀rọ",5,5.010
,,"le",31,4.990
,,"Oluwa",21,4.980
,,"yio",28,4.960
,,"ha",9,4.950
,,"ẹniti",12,4.920
,,"Iwọ",7,4.900
,,"bi",41,4.870
,,"okun",5,4.860
,,"Ọlọrun",15,4.840
,,"kò",45,4.830
,,"mọ̀",8,4.820
,,"joko",5,4.820
,,"on",12,4.820
,,"nla",8,4.780
,,"sa",5,4.760
,,"ṣugbọn",10,4.740
,,"nitoriti",6,4.740
,,"nṣe",5,4.670
,,"lo",21,4.660
,,"iwọ",17,4.650
,,"ninu",29,4.630
,,"ni",162,4.560
,,"si",147,4.560
,,"emi",19,4.550
,,"iru",5,4.550
,,"o",145,4.540
,,"gbogbo",36,4.520
,,"duro",6,4.520
,,"lori",11,4.510
,,"lati",34,4.490
,,"Nitori",7,4.470
,,"O",16,4.400
,,"fun",44,4.380
,,"ṣe",40,4.370
,,"ọ̀rọ",5,4.350
,,"inu",7,4.330
,,"wa",31,4.320
,,"nwọn",21,4.270
,,"rẹ",26,4.250
,,"ọ",11,4.250
,,"Ṣugbọn",6,4.230
,,"jẹ",13,4.220
,,"Ati",6,4.220
,,"oju",6,4.200
,,"ri",11,4.170
,,"jade",6,4.140
,,"pelu",5,4.140
,,"gba",11,4.130
,,"oro",5,4.110
,,"se",19,4.100
,,"ti",143,4.050
,,"i",14,4.040
,,"gbà",7,4.040
,,"ju",5,3.990
,,"pe",27,3.980
,,"wá",17,3.970
,,"ba",22,3.950
,,"kuro",6,3.930
,,"kì",9,3.920
,,"ko",17,3.870
,,"won",20,3.860
,,"u",5,3.850
,,"mi",24,3.820
,,"enia",8,3.820
,,"nigbati",5,3.790
,,"da",5,3.790
agbara,"words just before X",,1007,92.130
,,"iṣẹ",34,8.990
,,"ọwọ́",21,8.370
,,"lí",10,8.290
,,"nipa",34,8.200
,,"li",112,7.980
,,"odi",9,7.750
,,"nfi",7,7.350
,,"pipe",5,7.180
,,"Nipa",5,7.100
,,"ọwọ",7,6.970
,,"fi",89,6.960
,,"pẹlu",17,6.930
,,"lọwọ",6,6.680
,,"iṣe",6,6.300
,,"ati",66,6.210
,,"gbogbo",30,6.130
,,"nitori",11,6.080
,,"pelu",5,5.950
,,"lo",14,5.940
,,"bi",21,5.770
,,"ninu",19,5.720
,,"gba",8,5.530
,,"ni",87,5.500
,,"gbà",5,5.400
,,"jẹ",5,4.750
,,"sọ",6,4.560
,,"pe",7,4.380
,,"wa",7,4.140
,,"ti",25,3.390
,,"ki",5,2.990
,,"si",14,2.970
,,"awọn",5,2.690
agbara,"words just after X",,947,86.640
,,"nla",22,8.140
,,"ijọba",11,7.960
,,"jù",13,7.540
,,"rẹ̀",84,7.480
,,"iraja",5,7.420
,,"lati",60,7.290
,,"rẹ",50,6.790
,,"ojo",7,6.790
,,"lori",15,6.710
,,"Ọlọrun",14,6.620
,,"ati",46,6.610
,,"gbà",10,6.340
,,"re",13,6.180
,,"mu",14,6.080
,,"ju",6,6.060
,,"mi",35,5.940
,,"yi",10,5.930
,,"fun",34,5.700
,,"kan",23,5.400
,,"li",16,5.290
,,"wọn",24,5.240
,,"nyin",6,5.090
,,"won",8,4.410
,,"ninu",6,4.130
,,"ti",37,4.110
,,"to",6,4.020
,,"ni",20,3.350
,,"wa",5,3.330
,,"awọn",5,2.820
,,"si",6,1.750
agbara,"words after X",,3502,320.400
,,"nla",30,6.710
,,"ninà",11,6.660
,,"ijọba",16,6.600
,,"rẹ̀",129,6.240
,,"ogo",12,6.220
,,"lati",111,6.150
,,"Ọlọrun",31,5.830
,,"jù",15,5.820
,,"ipá",7,5.790
,,"lori",30,5.780
,,"ati",136,5.610
,,"ọwọ́",11,5.530
,,"rẹ",73,5.470
,,"on",17,5.460
,,"apa",7,5.420
,,"dari",5,5.300
,,"ju",13,5.260
,,"igbala",5,5.260
,,"Ẹmí",5,5.240
,,"ọrun",8,5.230
,,"ina",5,5.190
,,"li",53,5.180
,,"agbara",8,5.170
,,"ẹmi",6,5.140
,,"mu",25,5.120
,,"ojo",8,5.100
,,"mi",68,5.050
,,"ṣugbọn",10,5.040
,,"Nitori",6,5.020
,,"han",6,5.010
,,"yi",18,4.960
,,"lọwọ",8,4.950
,,"ife",5,4.950
,,"diẹ",5,4.940
,,"u",12,4.910
,,"re",19,4.900
,,"Olorun",6,4.880
,,"gbà",13,4.860
,,"omi",9,4.840
,,"mbẹ",6,4.800
,,"da",10,4.790
,,"Emi",6,4.770
,,"tabi",13,4.750
,,"lowo",6,4.720
,,"aiye",6,4.700
,,"eniyan",8,4.690
,,"O",9,4.690
,,"yio",21,4.680
,,"hàn",7,4.670
,,"fun",60,4.650
,,"ọwọ",5,4.650
,,"kuro",11,4.640
,,"lara",6,4.640
,,"iwọ",14,4.630
,,"OLUWA",8,4.630
,,"nyin",16,4.610
,,"nipa",10,4.600
,,"Oluwa",16,4.590
,,"ninu",31,4.570
,,"Jesu",6,4.550
,,"awoôn",5,4.550
,,"Kristi",6,4.460
,,"aye",5,4.440
,,"woôn",6,4.420
,,"niwaju",6,4.390
,,"to",28,4.380
,,"ẹniti",7,4.360
,,"silẹ",5,4.360
,,"lọ",24,4.280
,,"iṣẹ",5,4.270
,,"mú",13,4.260
,,"kan",36,4.240
,,"enia",11,4.220
,,"awon",26,4.220
,,"owo",5,4.160
,,"wọn",42,4.140
,,"oju",6,4.140
,,"awọn",45,4.110
,,"wo",6,4.110
,,"ti",135,4.080
,,"jẹ",12,4.070
,,"emi",11,4.030
,,"ko",17,3.960
,,"wa",27,3.920
,,"o",82,3.890
,,"ã",8,3.850
,,"ede",6,3.840
