"﻿""corpus""",preloarded-/-yorubwac15
,after,31,9.840
,ceremone,8,7.310
,counter,11,9.410
,look-like,17,8.520
,die,11,8.190
,research,5,6.580
,after,7,8.430
,cause,4,8.360
,judge,4,8.280
,until,19,6.440
,involved,5,7.000
,hear,9,6.350
,poisonous,5,8.190
,meet,6,8.240
,remember,4,5.730
,flexible,4,6.900
,brew,8,5.560
,pull,6,7.230
,by,17,7.450
,reach,12,5.370
,difficult,4,5.340
,year,8,5.300
,pluck,4,5.270
,start,5,5.250
,tail,5,7.040
,chance,5,5.100
,cover,6,5.010
,verdict,4,8.090
,text,6,6.650
,because,4,5.940
,on,7,5.810
,find,5,5.100
,shock,26,10.810
,lekhram,4,8.250
,burning,4,8.220
,soak,36,7.810
,man,5,7.690
,jesus,6,6.910
,durable,29,6.360
,father,5,5.720
,child,4,5.170
,kill,48,6.230
,sister,4,6.480
,boy,4,6.180
,farm,6,5.200
,mat,8,5.100
