"corpus","preloaded/yorubawac15"
"subcorpus","-"
Keyword,Gramrel,Collocate,Freq,Score
iku,"words before X",,1411,332.000
,,"leyin",31,8.020
,,"Kayeefi",8,7.310
,,"lẹyin",9,7.300
,,"ojo",18,6.810
,,"ku",13,6.600
,,"iwadii",5,6.580
,,"Leyin",7,6.570
,,"sokunfa",4,6.520
,,"dajo",4,6.440
,,"titi",19,6.440
,,"lowo",11,6.350
,,"gbo",9,6.350
,,"loro",5,6.330
,,"pade",5,6.150
,,"ranti",4,5.730
,,"ro",6,5.580
,,"eeyan",8,5.560
,,"fa",6,5.430
,,"nipa",14,5.420
,,"de",12,5.370
,,"soro",4,5.340
,,"odun",8,5.300
,,"ja",4,5.270
,,"bere",5,5.250
,,"iru",5,5.130
,,"aye",5,5.100
,,"bo",6,5.010
,,"la",5,4.920
,,"koja",4,4.920
,,"iye",4,4.840
,,"eniyan",6,4.650
,,"won",31,4.570
,,"se",22,4.410
,,"di",15,4.390
,,"Nitori",5,4.350
,,"oun",4,4.290
,,"lori",8,4.280
,,"re",9,4.240
,,"to",25,4.220
,,"woôn",4,4.220
,,"oro",4,4.190
,,"ko",19,4.120
,,"lo",13,4.090
,,"ri",9,4.060
,,"ma",8,4.000
,,"tun",5,3.920
,,"Awọn",4,3.860
,,"gba",8,3.840
,,"Bi",4,3.840
,,"pe",22,3.750
,,"yoo",6,3.690
,,"yii",5,3.690
,,"ni",68,3.320
,,"ninu",11,3.320
,,"mo",11,3.210
,,"tabi",4,3.170
,,"le",8,3.150
,,"so",4,3.130
,,"yi",4,3.100
,,"ba",11,3.020
,,"awon",11,3.000
,,"nitori",4,2.930
,,"ki",17,2.860
,,"naa",4,2.770
,,"ti",58,2.760
,,"fi",17,2.750
,,"o",41,2.730
,,"n",17,2.690
,,"i",5,2.680
,,"wa",9,2.600
,,"je",6,2.550
,,"si",36,2.550
,,"bi",6,2.170
,,"a",13,2.110
,,"lati",6,2.060
,,"ati",10,1.770
,,"kan",6,1.760
,,"rẹ",4,1.630
,,"fun",5,1.290
,,"awọn",4,0.650
iku,"words just before X",,394,92.710
,,"leyin",31,9.840
,,"lẹyin",11,9.410
,,"ojo",17,8.520
,,"Leyin",7,8.430
,,"sokunfa",4,8.360
,,"dajo",4,8.280
,,"pade",6,8.240
,,"ku",11,8.190
,,"loro",5,8.190
,,"idajo",4,8.090
,,"nipa",17,7.450
,,"fa",6,7.230
,,"iru",5,7.040
,,"lowo",5,7.000
,,"ro",4,6.900
,,"oro",4,6.030
,,"Nitori",4,5.940
,,"lori",7,5.810
,,"ri",5,5.100
,,"pe",10,4.970
,,"se",9,4.930
,,"ninu",7,4.360
,,"ni",28,3.870
,,"bi",4,3.450
,,"ki",4,2.710
,,"ti",14,2.560
,,"si",10,2.500
,,"ati",4,2.190
iku,"words just after X",,372,87.530
,,"ojiji",26,10.810
,,"Lekhram",4,8.250
,,"gbigbona",4,8.220
,,"re",36,7.810
,,"okunrin",5,7.690
,,"Jesu",6,6.910
,,"ro",4,6.870
,,"oro",6,6.650
,,"to",29,6.360
,,"baba",5,5.720
,,"omo",4,5.170
,,"pa",6,5.070
,,"lo",4,4.120
,,"rẹ",7,4.020
,,"ba",6,3.960
,,"fun",9,3.830
,,"se",4,3.720
,,"awon",4,3.490
,,"ti",17,3.000
,,"ni",9,2.220
,,"si",4,1.180
iku,"words after X",,1270,298.820
,,"ojiji",23,8.830
,,"okunrin",9,6.680
,,"Arabinrin",4,6.480
,,"gbigbona",4,6.440
,,"re",44,6.270
,,"pa",48,6.230
,,"omokunrin",4,6.180
,,"oko",6,5.200
,,"to",45,5.130
,,"eni",8,5.100
,,"oro",7,5.010
,,"Jesu",6,5.000
,,"eeyan",4,4.680
,,"naa",15,4.580
,,"obinrin",4,4.580
,,"baba",8,4.490
,,"omo",8,4.380
,,"oun",4,4.270
,,"ko",19,4.220
,,"pelu",4,4.170
,,"un",6,4.040
,,"odun",4,4.030
,,"yii",7,3.990
,,"de",5,3.900
,,"nipa",5,3.860
,,"lo",11,3.780
,,"yoo",6,3.780
,,"awon",18,3.760
,,"kan",20,3.440
,,"mu",7,3.430
,,"won",14,3.370
,,"ba",12,3.220
,,"e",4,3.030
,,"le",7,2.950
,,"je",6,2.910
,,"ti",59,2.900
,,"se",8,2.880
,,"ile",5,2.710
,,"wa",11,2.680
,,"ni",42,2.660
,,"bi",7,2.470
,,"ati",15,2.460
,,"o",29,2.410
,,"ninu",6,2.280
,,"fun",11,2.250
,,"rẹ",7,2.150
,,"ki",8,2.040
,,"a",11,2.030
,,"mi",8,2.010
,,"mo",4,1.890
,,"pe",6,1.800
,,"si",16,1.540
,,"n",7,1.480
,,"gbogbo",4,1.450
,,"fi",6,1.320
