"﻿""corpus""",preloaded/yorubawac15
,leyin,31,9.840
,Kayeefi,8,7.310
,lẹyin,11,9.410
,ojo,17,8.520
,ku,11,8.190
,iwadii,5,6.580
,Leyin,7,8.430
,sokunfa,4,8.360
,dajo,4,8.280
,titi,19,6.440
,lowo,5,7.000
,gbo,9,6.350
,loro,5,8.190
,pade,6,8.240
,ranti,4,5.730
,ro,4,6.900
,eeyan,8,5.560
,fa,6,7.230
,nipa,17,7.450
,de,12,5.370
,soro,4,5.340
,odun,8,5.300
,ja,4,5.270
,bere,5,5.250
,iru,5,7.040
,aye,5,5.100
,bo,6,5.010
,idajo,4,8.090
,oro,6,6.650
,Nitori,4,5.940
,lori,7,5.810
,ri,5,5.100
,ojiji,26,10.810
,Lekhram,4,8.250
,gbigbona,4,8.220
,re,36,7.810
,okunrin,5,7.690
,Jesu,6,6.910
,to,29,6.360
,baba,5,5.720
,omo,4,5.170
,pa,48,6.230
,Arabinrin,4,6.480
,omokunrin,4,6.180
,oko,6,5.200
,eni,8,5.100
