"corpus","preloaded/yorubawac15"
"subcorpus","-"
Keyword,Gramrel,Collocate,Freq,Score
ominira,"words before X",,247,343.060
,,"gbagede",2,7.880
,,"irinkankan",2,7.760
,,"ayeye",2,6.430
,,"Naijiria",7,5.990
,,"Leyin",2,5.700
,,"ija",2,5.340
,,"ji",2,5.310
,,"leyin",3,5.170
,,"gba",16,4.930
,,"igba",4,4.610
,,"eto",2,4.350
,,"odun",3,4.170
,,"ede",3,3.340
,,"kuro",2,2.810
,,"fun",12,2.580
,,"yoo",2,2.220
,,"di",3,2.140
,,"ile",2,1.750
,,"ati",8,1.470
,,"to",3,1.190
,,"li",3,1.160
,,"lọ",2,1.100
,,"se",2,0.990
,,"ni",13,0.940
,,"ko",2,0.930
,,"ninu",2,0.910
,,"won",2,0.650
,,"bi",2,0.620
,,"ti",12,0.500
,,"a",3,0.020
ominira,"words just before X",,69,95.830
,,"gbagede",2,9.730
,,"Leyin",2,7.590
,,"ija",2,7.200
,,"gba",16,6.790
,,"leyin",2,6.380
,,"odun",2,5.580
,,"fun",6,3.250
,,"li",3,2.860
,,"ni",9,2.250
,,"ati",3,1.800
ominira,"words just after X",,60,83.330
,,"latowo",2,8.220
,,"lowo",5,7.180
,,"lati",8,4.490
,,"to",4,3.540
,,"ati",5,3.500
,,"ni",8,2.060
,,"ti",4,0.920
ominira,"words after X",,217,301.390
,,"latowo",2,6.310
,,"asofin",2,5.840
,,"lowo",6,5.560
,,"Naijiria",4,4.810
,,"yan",2,4.760
,,"lọdọ",2,4.410
,,"ijoba",3,4.360
,,"odun",4,4.230
,,"orile",3,3.900
,,"owo",2,3.480
,,"awon",9,2.800
,,"lati",10,2.770
,,"ede",2,2.640
,,"kuro",2,2.560
,,"tabi",2,2.390
,,"won",5,1.920
,,"re",2,1.890
,,"to",4,1.680
,,"ati",8,1.570
,,"ile",2,1.450
,,"ni",14,1.080
,,"ko",2,1.010
,,"rẹ",3,0.960
,,"wa",3,0.830
,,"ki",3,0.650
,,"si",8,0.540
,,"fun",3,0.390
,,"ti",8,0.020
