"﻿""corpus""",preloarded-/-yorubwac15
,action,34,8.990
,by,34,8.200
,lied,112,7.980
,statage,14,6.580
,seaual-bow,10,8.290
,along-with,17,6.930
,negative,9,7.750
,glory,12,6.220
,money,7,6.970
,cia,7,7.350
,government,11,7.960
,according-to,16,5.760
,must,9,5.690
,action,6,6.300
,neck,10,5.640
,immoice,89,6.960
,because,11,6.080
,we-had,46,6.610
,wonder,6,5.460
,fabulous,5,5.380
,active,6,6.680
,perfect,5,7.180
,right,5,5.240
,by,5,7.100
,chance,8,5.200
,sometimes,21,5.190
,we,11,5.180
,power,8,5.170
,but,5,5.100
,we-have,7,5.080
,base,7,5.060
,for,6,5.010
,every,30,6.130
,along-with,5,5.950
,go,14,5.940
,like,21,5.770
,inside,19,5.720
,get,8,5.530
,in,87,5.500
,get,10,6.340
,great,22,8.140
,outstanding,13,7.540
,rum,5,7.420
,from,60,7.290
,soak,50,6.790
,look-like,7,6.790
,on,15,6.710
,god,14,6.620
,soak,13,6.180
,drink,14,6.080
,throw,6,6.060
,my,35,5.940
,roll,10,5.930
,for,34,5.700
,affect,23,5.400
,they,24,5.240
,ye,6,5.090
,running,11,6.660
,violence,7,5.790
,he,17,5.460
,arm,7,5.420
,lead,5,5.300
,salvation,5,5.260
,i,5,5.240
,fire,5,5.190
,i,6,5.140
,but,10,5.040
,because,6,5.020
,appear,6,5.010
