"﻿""corpus""",preloarded-/-yorubwac15
,hit,2,8.750
,work-out,1,7.890
,fabulous,1,7.800
,vaccine,1,7.790
,drug,1,7.540
,council,1,7.180
,certainty,1,8.930
,interrupt,1,6.890
,log,1,6.660
,grief,1,6.610
,wilderness,1,6.260
,lying,1,5.940
,excusion,1,5.800
,statage,1,7.330
,lied,15,5.180
,eat,5,5.010
,condition,1,5.640
,thus,1,5.620
,up,1,5.560
,first,1,5.160
,idence,1,8.130
,boiling,1,7.760
,beware-of,1,7.440
,house,1,7.290
,rabbit,1,7.230
,girl,1,6.460
,global,1,6.350
,they,1,6.150
,curse,1,5.650
,whoever,1,5.230
